colname,datatype,rectype,knrifg49,approval_status,schemaname,time_to_live,data_lineage,nullableFlag,uogrl47,write,versionno,row_count,deleted_at
name,VARCHAR,delete,27f1076505d0ad0865224da2e7d48f4f0162583bd8ebae5192946309be07ae35,Approved,hr.employees,267 days,staging.users -> analytics,false,true,Guest,4.15.78,25157,
name,INTEGER,snapshot,4046915174d0afecd8536ba960209f8fb7046f5d4088e371c341c842c0b60c7d,Rejected,analytics.events,72 days,raw.users -> reports,NO,false,Viewer,1.19.91,63725,
created_at,INTEGER,delete,231c7ebc95575c8565e1cdf7dd399b0efe12a7aa2db8f9702a6050d1c810cceb,In Review,hr.employees,173 days,raw.users -> analytics,NO,false,Owner,3.6.51,95835,
id,TIMESTAMP,snapshot,5fd7d8a0bb397bf23eca6e910e175bbca700ee23dc841697a383bafafa9c6518,In Review,analytics.events,303 days,curated.users -> analytics,true,false,Admin,0.17.44,46208,
email,JSON,upsert,c47038b7744e0d72253763bc6ec0d2ed918585faf659e34a724b99f346cc6e44,Pending,public.users,129 days,raw.users -> reports,YES,false,Guest,4.12.1,9197,
amount,TIMESTAMP,upsert,c267a6bfc35bed01865d242346422e6f9fc513344f7bb3b9638f1f045976dac0,Rejected,public.users,203 days,curated.events -> analytics,YES,false,Guest,5.3.11,45474,
status,BOOLEAN,update,92a132a0b679e89c0a76a2e3a1e3b0b98d1d2d1c077d823ea4f615b9a73d0810,Pending,public.users,86 days,staging.users -> exports,NO,true,Owner,3.16.48,91944,
created_at,FLOAT,upsert,c653331cdd7030735361e17c7d80729d3252f8f54b7b07a7d12b0804ee681180,Rejected,analytics.events,176 days,curated.events -> analytics,NO,false,Admin,5.10.52,4908,
status,INTEGER,snapshot,fc1f28cc4760593a1897be58352491e8389289858b9e73bb9680f5ba6516efa4,In Review,hr.employees,138 days,curated.users -> analytics,true,false,Admin,5.2.64,37295,
name,TEXT,upsert,e102e539fac8b32db7fa87f0b76509d7a2619bb0cebca9b3b6b3babf19b31c0b,In Review,analytics.events,92 days,raw.orders -> analytics,true,true,Viewer,5.20.12,81050,
name,FLOAT,snapshot,2734d956562c6c6499d6e630d4a63e928f0da0ccb69fea11ab3133884f4a97db,Rejected,analytics.events,124 days,curated.events -> reports,NO,false,Viewer,0.12.58,93252,2020-03-28T21:48:14Z
amount,TEXT,insert,9e1464301a3953f32a5d0288a8365d0dac6ef91e36b6c662a742624068b77eea,In Review,hr.employees,282 days,curated.events -> reports,true,true,Editor,5.9.82,16402,2018-12-25 16:39:43
id,TIMESTAMP,snapshot,8ed37f95f4ae5607ec27f52eda803f031deafed500eb50c876d21e5209efd545,In Review,analytics.events,121 days,curated.orders -> reports,false,false,Owner,2.4.83,42643,
id,FLOAT,snapshot,b9ec6594a53bc03aa8eaf7d91d763b28e8a8d13aba2202fcd94a9888e36a9fe8,Rejected,public.users,223 days,raw.orders -> analytics,false,false,Editor,0.14.67,69977,
type,FLOAT,snapshot,aa626684e23e3fef4417bf4be71f1c4fa4a53f4daae8c1d2d8bcc49e61fe20f8,Rejected,public.users,216 days,staging.events -> analytics,NO,false,Admin,0.10.70,97511,
email,BOOLEAN,delete,1c827f9ce91df6cc924bc597b51f3e5934c2f81764bc6e9cca2a7875a7d11b66,In Review,analytics.events,54 days,raw.events -> reports,true,true,Editor,4.9.90,77345,
email,TIMESTAMP,update,c25a698e5149333cd9d601f75a9a7d9e49f9109d74e4d26d5ef29d2797b0c284,Pending,analytics.events,337 days,staging.users -> reports,true,true,Viewer,4.18.28,83787,
email,BOOLEAN,update,2b91c5cd0b6fc8fc029a0563ed096cd7e2c8ed61b68e5f07b8d8c1eed203d1f7,Approved,hr.employees,238 days,staging.events -> analytics,NO,false,Editor,3.17.87,73198,
email,INTEGER,upsert,5c4b5050b951e75e4cd7347af2a5d892d8a7df82d8903975a9e3785844087d18,Pending,analytics.events,354 days,curated.users -> exports,true,true,Owner,5.12.85,36849,
amount,FLOAT,update,e568ae28206aae770df98e77a38ab463a20e5411bddba8a6719bdaddfaeaa15f,Approved,analytics.events,4 days,raw.events -> analytics,true,false,Editor,0.20.69,1714,
status,VARCHAR,update,4901beb5b73c86773065453ad40566615ad8ca1b2d6e93ab6146a373a6aa6d40,Approved,public.users,325 days,curated.events -> exports,YES,true,Owner,3.18.76,97752,
email,FLOAT,upsert,0f2ee0fa6bec52ac10ff8dcda31eb5869be070b95d2d7067488f0a6bfc6f4dee,Pending,analytics.events,224 days,raw.events -> exports,true,false,Viewer,2.19.96,94705,
status,INTEGER,upsert,278a8eabd6ca82d7c96877e6c11e0ea92a3ec20b27c0f1c7b0973b67163dff39,Pending,hr.employees,155 days,curated.events -> analytics,YES,false,Guest,1.19.56,88356,
id,BOOLEAN,update,0e3dcd016d711f888be02d48164345a6fb9489258dbe754d9d7e0f2a7979631e,Approved,analytics.events,164 days,raw.orders -> analytics,NO,false,Owner,2.1.67,14393,
name,JSON,upsert,6322f6e5cb452aa24d539a7ab204f2e2f9d2aba66a061e65e615e358c80fa060,In Review,hr.employees,246 days,curated.users -> exports,true,false,Owner,0.1.68,35832,
type,INTEGER,snapshot,00bfb938cd6b199ea7d116abce6180d255e09571ee0a55a0eb780fae9c2254ca,Rejected,analytics.events,352 days,raw.users -> exports,true,false,Viewer,1.0.18,43391,
amount,INTEGER,update,b3a32769eda7a4ed0a810beb0b86685f3a33a747ca8f03fd33b5653fe1fc6cbc,Rejected,sales.orders,349 days,staging.events -> analytics,NO,false,Viewer,1.0.31,35047,
name,JSON,upsert,c073e692e280240971e023abf9c66d8ea4b9a81d1e029c4223432ce3000b2500,Pending,analytics.events,350 days,raw.events -> reports,NO,false,Admin,1.0.98,59376,
id,VARCHAR,update,5638662dc4843d0356f60bf7cea57376f48394d37c94c3d03878293cb789ec84,Rejected,hr.employees,345 days,raw.events -> analytics,false,false,Editor,0.4.97,6694,2022-11-03 12:17:59
type,TEXT,delete,bd596870d217350ac8823d90b19be83a3b6244cf56577de55177f8792059ee67,Rejected,analytics.events,206 days,raw.orders -> exports,YES,false,Owner,5.0.54,94823,
email,VARCHAR,snapshot,ba628e0bec1640cc25c69a80c8d18896f5114bf9f0c1c2b72c52167d3e9767b9,In Review,analytics.events,231 days,curated.orders -> exports,YES,false,Guest,5.14.14,10559,
created_at,TIMESTAMP,update,481b063ad47bc73db165a960b2ba2a2d04ff592d13c49bb3d4a4152d4cba133e,Rejected,public.users,29 days,curated.events -> reports,false,false,Viewer,0.1.24,32924,
id,BOOLEAN,snapshot,4fca2f3923dff767aa4d62697d0c22317a9bccbf1054d691cd7d98e2ca93121c,In Review,public.users,242 days,curated.orders -> exports,false,false,Owner,5.2.47,53419,
created_at,FLOAT,upsert,4aa50c66c6f83fca742a1fffc1be654f3f12eb6c57ec3cb90d7b003d9118b277,In Review,sales.orders,145 days,raw.events -> analytics,true,false,Owner,3.13.91,85013,2018-07-19T23:09:25Z
email,BOOLEAN,update,83f4d8a144f3ced5abc523380dc7980d3be030fad5764a881a97cf3219091982,In Review,sales.orders,12 days,curated.events -> exports,YES,true,Guest,1.19.66,84032,
status,BOOLEAN,upsert,9a6190e82c2d8b257572b52a018ed7095cc77be8c730ad892e662588678ccf6d,Approved,hr.employees,34 days,curated.events -> exports,NO,false,Admin,0.6.67,10073,
email,TEXT,insert,4e81d1f0cb3a48a8c564e1bf4ed70cb3c79ff65a3d2a6d3a0c2994ca09395c91,Rejected,analytics.events,96 days,staging.orders -> reports,NO,false,Editor,2.20.23,41280,
amount,VARCHAR,update,f8c59bdbd81026c2a07503bad7a4c14243f25585e579372f050f6c5d94ac3c39,Rejected,sales.orders,209 days,curated.users -> reports,false,false,Owner,0.7.55,92048,
created_at,JSON,snapshot,9333d1e2ef7bc18479021d490f558857ff02cf7de50ca3ac0f6fda850be9b318,Rejected,sales.orders,37 days,raw.users -> exports,true,false,Owner,2.8.68,13819,
type,TEXT,update,2cd0ce1250917eb90f7b0f25d0ed51aca092dc3eba77ba6059e23dcd311b582e,Approved,hr.employees,5 days,raw.orders -> analytics,YES,false,Viewer,2.2.50,79730,
id,INTEGER,upsert,04da98350dfaa339ed1b554860acb75fd020d93fbc0068c03c8521475dedde26,Approved,analytics.events,282 days,raw.users -> analytics,NO,false,Admin,2.1.86,16803,
type,BOOLEAN,insert,3ec9624ca6a7773525574f191ec59d1905d05b7b22098c6eadd7004c8c010de1,Rejected,hr.employees,238 days,staging.orders -> analytics,true,true,Editor,2.19.20,82029,
email,BOOLEAN,delete,e0657f8155387ffaad2e87422cfcbc015e229c2e419b583e18600b1403ef3360,Rejected,hr.employees,76 days,curated.users -> exports,NO,false,Admin,0.11.86,99872,
status,JSON,upsert,ae8686fcbd83fa8cc46a4b4755c68f299b818a91ef7b1d8d7f1968f8d62b7b4b,Rejected,public.users,177 days,staging.orders -> reports,YES,false,Owner,2.19.67,24077,
created_at,VARCHAR,update,28f8012a5447324c1b4a9306b24f465c12082529792c30ae913ade1cd2bf18c5,Approved,public.users,278 days,staging.events -> reports,false,false,Editor,0.17.42,66489,
id,TEXT,update,2773e071f8484f2cf4db8378c274d8ac8121ba58dd2b4a0a3d60811100b7af77,Approved,sales.orders,70 days,raw.events -> exports,NO,false,Editor,0.15.30,74069,
type,VARCHAR,insert,63125fed716e6df16f0458ab8acc425ebb84588f416e76f7ff52d17832168165,In Review,analytics.events,153 days,staging.events -> exports,YES,true,Guest,3.15.8,169,
amount,TIMESTAMP,snapshot,fb86b4d252da002132ed5f681a08fb721a412c625a3bf01dac69e9a74c82b3d2,Rejected,sales.orders,349 days,staging.events -> reports,false,false,Guest,2.12.7,59032,
id,TIMESTAMP,snapshot,815639c0a75cd02c5868933c776c58e4948db7297892fb100d464891768f5b2e,Pending,public.users,200 days,staging.users -> exports,true,false,Admin,5.16.6,68843,2023-05-21T17:41:20Z
amount,VARCHAR,update,1c5ec331e7982fee17e90cee7a933c9cbbeeae3426b04510961f8d447c8ac03e,In Review,public.users,8 days,curated.orders -> exports,NO,false,Admin,5.15.55,67643,
status,BOOLEAN,delete,d92cf34e65602fa7451be5e56aa4d3f1d83d3d072dc8739693489376d6388c7c,Pending,sales.orders,61 days,raw.orders -> reports,YES,false,Viewer,1.5.39,56748,
amount,TIMESTAMP,update,918852c0ab9a60794c3c0172380514c576f130207a85ba5b31464bd4f38d198b,Pending,hr.employees,26 days,staging.events -> analytics,YES,false,Viewer,0.6.4,6048,
name,INTEGER,snapshot,52f1231762e6fe8ac4f4da35e2162af4cdd7ef8ff27851735c9e9d8b07a47ff7,Pending,analytics.events,223 days,curated.users -> exports,YES,false,Owner,1.0.16,6731,
email,INTEGER,insert,08e1de81edc9f336aa42cbb243b1e16c85bf10aee1404397f6188603e91a2991,Approved,hr.employees,76 days,staging.orders -> analytics,YES,false,Admin,5.13.99,54996,
amount,VARCHAR,delete,d09fbe6d1335d9d432bac3bd3e7fc6bd19b96e2ae7b38bae34c0e2fda0bebaaa,In Review,hr.employees,188 days,raw.orders -> analytics,NO,true,Viewer,1.5.73,14803,
name,TEXT,upsert,5541901d9384002f8c344639da698e49066f4d1779bf028f4f28c5ce7ddda283,In Review,sales.orders,138 days,raw.users -> analytics,true,false,Viewer,3.16.73,63393,
id,INTEGER,upsert,de942ad166a928997d34d56ed72e312f65f98551015452f7798800cc3d8dc789,In Review,public.users,246 days,curated.events -> analytics,false,false,Viewer,5.1.76,92360,2023-12-27T11:28:14Z
name,INTEGER,update,b607529b8c30e9a22439c06b45b77532e3bd8774739b91b08d70e319abc318fc,In Review,hr.employees,346 days,staging.users -> reports,true,false,Admin,4.12.33,44655,
name,VARCHAR,snapshot,457c3689840ce3f359b370ebbd0abfd022573d70cd16ceb13c32f25437e5db50,Pending,hr.employees,244 days,curated.orders -> analytics,false,false,Owner,1.16.21,32885,
status,INTEGER,update,f3974fd36bb99bc99151ab1de81cd3d9a5aca3d098a324901f2b80b6de1a7793,Pending,sales.orders,207 days,curated.events -> exports,NO,false,Guest,1.16.75,56815,
created_at,FLOAT,snapshot,981b6b30574e24428d1835126ff1a279d16b86226150b40f0a4ee6a91e7d3607,Approved,sales.orders,78 days,raw.events -> exports,NO,true,Viewer,3.16.53,24715,
created_at,TEXT,delete,3b12645a438c0f50822cdbed220cd8fae7984123c5c84f09f32603fc9fec8043,Rejected,sales.orders,33 days,raw.events -> exports,NO,true,Editor,0.16.87,3957,
name,JSON,insert,960af3573b88e37539ba9f5ee3e324a3fd50984438054ba2f0c6c8ffccb696f5,Rejected,public.users,76 days,staging.users -> exports,true,false,Guest,5.6.53,7338,
name,JSON,upsert,0be54655ad23f6f591a825840afa95abba145bfa80bbe59c644558462b584920,Approved,public.users,352 days,raw.orders -> analytics,true,false,Owner,4.9.86,76663,
status,TIMESTAMP,upsert,b90973755c943a9df716c32fdf82ea8a3aad5cf72511d5b20138e77a5a09e331,Pending,analytics.events,209 days,staging.orders -> exports,false,false,Admin,3.18.51,59803,
amount,JSON,insert,6c44b5070eb05b47dae27b8b56d5495c999941bce187b891e51a084f58dbc06d,Approved,hr.employees,322 days,staging.users -> analytics,YES,false,Editor,0.1.83,91522,
name,BOOLEAN,insert,57c212130f3f0cd87bc74e2602eab4a818af202d872a02853c5525c483255c6e,Approved,sales.orders,153 days,staging.orders -> analytics,false,false,Viewer,2.3.69,48114,
status,VARCHAR,insert,3fda165f688b8cecb60fdbecee30a1961d3c4e7c2548e5129f90123fa0e1973f,Pending,sales.orders,1 days,raw.events -> analytics,NO,false,Owner,5.15.8,69877,
status,INTEGER,snapshot,735a8daba246c4d3ae7257f80d2432c31b0d3ceac272519464d69825f318db4d,In Review,public.users,154 days,curated.events -> analytics,YES,true,Editor,2.15.12,56443,
created_at,VARCHAR,insert,d71fbf646e03641c7142b045c178bedab9c90ed785aff9f9a29a1d6d960ffd4f,In Review,analytics.events,210 days,staging.orders -> analytics,NO,false,Viewer,5.20.6,8742,
id,BOOLEAN,insert,3feec0a86f1f4a604a0863fac62f07729dbf83a906c901955114bd487d63bbc1,In Review,hr.employees,2 days,raw.orders -> exports,true,false,Owner,0.11.35,4814,
created_at,TEXT,delete,6d09380345c3a4215915b7f913d7fa5dd9f0e96841caf911abd58c42d12bdb8b,Pending,public.users,133 days,staging.orders -> reports,true,false,Viewer,1.6.22,12238,2023-11-26 09:12:09
email,BOOLEAN,update,b207fad5ed9b94bbb1a73c395b0355f436e914ae414537c17153d0306f2a9962,Pending,hr.employees,57 days,curated.users -> reports,NO,true,Owner,3.9.16,26413,
amount,FLOAT,delete,0ebae753ccdb5e139dccbc94a58e2121f108db85065cd5dbd0b45eec669c7470,In Review,sales.orders,308 days,curated.events -> reports,false,false,Viewer,4.19.33,86601,
created_at,FLOAT,upsert,63107916a7b1290c3d4afdf7f5046ce59efe8a6dac3308a5d27eeb66c82e5a0b,Pending,analytics.events,330 days,raw.events -> reports,YES,true,Viewer,3.6.80,69582,2024-10-02T05:49:33Z
status,VARCHAR,snapshot,7bc18fd12074289d5b0af3987e85420e6207df0563df1baf0927285cc9784d82,Pending,hr.employees,45 days,curated.events -> analytics,NO,false,Owner,0.12.43,62669,
name,JSON,snapshot,ec78d4dfbf7b6e487a2c8ebb194151666dcf27c5de4e98130ef319d1a5a0ab6c,Rejected,analytics.events,119 days,curated.events -> exports,true,true,Owner,0.19.13,64599,
email,VARCHAR,snapshot,d6756ae1e75b4d0756f3fe947a9d0041da0c007cb836d81b587f3de46e3b1f77,In Review,public.users,118 days,curated.users -> analytics,true,false,Admin,0.16.19,50799,
status,TEXT,insert,c8eb776da7c57425a8ef1a60601906870b0043fbd3465a407acad2013a52764a,Pending,sales.orders,291 days,raw.users -> reports,NO,false,Guest,1.15.5,16293,
status,JSON,upsert,416e24594adae71aab6b7582d6d1caf5014d0401fa791a8611d89506119bbd42,Pending,sales.orders,71 days,staging.users -> reports,true,false,Editor,0.12.45,81742,
created_at,BOOLEAN,delete,f0fb982a2154ccab303b77a5fe38a54910c386954977d43823b0108b5ef43868,Pending,hr.employees,181 days,curated.events -> reports,NO,false,Owner,4.17.97,8981,2023-02-23T07:06:19Z
type,INTEGER,snapshot,d3f8b3573ca25b4a91d455b386800751271871ea03e3ad7f72629c8ebfe6c0ae,Rejected,sales.orders,331 days,staging.events -> exports,false,false,Viewer,3.20.12,61024,
amount,INTEGER,upsert,08187f1aa309688cc89913e262f87273da63c2fbff3f4d0c04dd583db53dc59e,In Review,analytics.events,176 days,curated.events -> exports,false,true,Admin,3.11.10,48038,
id,FLOAT,snapshot,ae2a7013c199223abd4fa5ef26a0d786fe64ace073aa9be18951bbf043112e57,Rejected,hr.employees,206 days,curated.orders -> reports,NO,false,Viewer,0.11.57,41070,
created_at,BOOLEAN,update,458aaf5c15ce7d5b04ed3d5afc8ab627bbec059bd8a335089610e7630de6dbae,Rejected,analytics.events,187 days,curated.events -> exports,true,false,Owner,4.3.84,58076,2022-09-13 17:34:10
created_at,TEXT,delete,5a1ce3463880801bc2740115ed3afc0e885ba39ced8e41469686d904297c7303,Approved,public.users,98 days,curated.orders -> reports,true,false,Admin,5.0.93,53835,
id,TIMESTAMP,update,55e9177d6f0ccf55f57c2ea89e755d1b9d375181ae20a646f71a0fd2a75ee47f,Approved,public.users,164 days,raw.orders -> exports,true,true,Viewer,4.12.72,93651,
email,FLOAT,snapshot,37849fb665a440c232afe91424e595955a273b01899448508d007dbff4823da0,Pending,hr.employees,112 days,raw.events -> reports,false,false,Viewer,3.0.18,93478,
