median,probval,confidenceInterval,f_256,percentile,numeric_range,var_vc,cas_registry_number,trend_growth_rate,word_embedding,image_embedding,f_138,var_qul,gloss,col_mean,genus,attr_718
-41.2404,0.7925,"[17.45, 63.51]",-0.7818,21.99,36-71,3.3739,66574-45-6,32.49%,"[-0.3871, -1.0641, -1.1303, -0.061, 0.9425, 0.5613, -1.0473, -0.862]","[-0.8797, 0.0601, 0.8015, 0.4804, -0.1795, -0.5951, 0.1118, 0.3525]",1322.4668,42.34,A formal definition of data quality.,24.1401,H2O,"[0.771, 0.0695, 0.3558, 0.131, 0.1389, 0.6979, 0.1539, 0.129]"
68.014,0.6204,"[3.97, 79.6]",0.9016,2.76,5-62,26.6953,72277-54-5,19.1%,"[-1.3864, 0.4234, -0.1646, 1.2484, -0.6193, -0.4291, -0.1398, -0.4745]","[-0.6004, -0.2527, -0.4506, -0.1486, 0.2667, 0.0573, -0.2257, 0.4491]",1794.807,74.17,A formal definition of compliance.,26.4645,H2O,"[0.3073, 0.2083, 0.137, 0.6071, 0.0493, 0.5495, 0.3368, 0.0102]"
15.091,0.3341,"[27.36, 79.96]",-0.3479,76.52,27-95,12.3748,87365-62-2,-34.75%,"[-0.6066, -0.1425, 0.1005, -0.8871, -0.6745, 0.9837, -0.2762, 0.5887]","[0.2998, 0.3164, -0.0758, 0.7637, 0.1008, 0.146, -0.0567, 0.6063]",2250.5711,97.84,A operational definition of compliance.,95.7329,Homo sapiens,"[0.2677, 0.815, 0.3077, 0.9972, 0.4995, 0.8756, 0.4683, 0.4479]"
53.5859,0.7984,"[36.1, 94.13]",0.8961,82.59,5-57,32.1458,4449-75-2,16.41%,"[0.3477, 1.9572, 0.7814, 0.1803, -0.9022, -0.1651, 1.096, -0.1584]","[0.0714, 0.1341, 1.4177, -0.7512, -0.2444, -0.379, 1.1953, -0.1991]",2491.1127,36.61,A operational definition of risk.,-52.6133,E. coli,"[0.4389, 0.073, 0.4546, 0.1379, 0.4393, 0.6592, 0.5571, 0.715]"
-3.0577,0.4178,"[13.19, 85.67]",0.2124,48.88,9-69,20.9826,48280-94-7,25.15%,"[0.0515, -0.9259, 1.1606, -1.006, 0.4484, 0.3051, 1.7329, 0.1145]","[-1.0156, -0.0706, 0.3472, -0.0533, -0.2341, -0.9734, -0.0875, 0.1611]",7471.0815,63.79,A formal definition of data quality.,85.014,NaCl,"[0.6559, 0.9681, 0.649, 0.7962, 0.3753, 0.454, 0.2557, 0.5676]"
82.4619,0.2363,"[11.42, 72.15]",-0.6432,13.17,10-86,9.5981,22416-19-3,-49.2%,"[-0.3208, -0.6072, 0.1755, 0.1767, -0.2693, 0.78, -0.0974, -0.1215]","[-0.2594, 0.3332, -0.1396, 0.9055, 0.1209, 0.2794, 1.0516, -0.2532]",5648.3539,13.33,A systematic definition of risk.,-69.2947,E. coli,"[0.276, 0.2423, 0.2624, 0.4482, 0.683, 0.2656, 0.9201, 0.7927]"
-47.3156,0.2396,"[32.95, 99.79]",0.8195,14.57,35-60,16.8238,48229-83-9,-19.27%,"[-1.1971, -0.4516, -0.0461, -2.5451, -0.5784, 0.8029, -0.8573, 0.9315]","[-0.9414, 0.4171, -0.803, -0.8699, -0.2845, -0.5919, 1.2431, -0.366]",9298.5641,0.31,A operational definition of risk.,-81.346,H2O,"[0.1468, 0.3358, 0.6082, 0.1096, 0.5637, 0.7647, 0.5049, 0.6715]"
-47.2192,0.8526,"[36.16, 93.43]",0.7525,67.37,37-71,42.1934,52384-99-6,17.15%,"[0.9895, -0.2216, -0.5482, 0.3259, 1.0381, 0.185, 1.1282, 1.3915]","[-0.6301, 1.5182, 0.0135, 0.1748, -0.8193, 0.5333, 0.5145, 0.6282]",2218.3119,52.17,A formal definition of risk.,61.0626,Fe2O3,"[0.3093, 0.6248, 0.0747, 0.5568, 0.6883, 0.1658, 0.3203, 0.2773]"
27.4257,0.2229,"[37.38, 74.73]",0.7552,35.14,39-69,4.117,67190-69-4,-22.85%,"[1.0656, 1.0287, 0.2714, 0.5174, -0.3068, -0.2124, -0.9283, -0.2673]","[0.6667, -0.1036, 0.5561, -0.2291, 0.6943, 0.3525, -0.5603, 0.755]",6663.5814,60.75,A formal definition of data quality.,-87.694,C6H12O6,"[0.4412, 0.6052, 0.1175, 0.3712, 0.2787, 0.7551, 0.0299, 0.3022]"
0.8896,0.9762,"[37.49, 98.56]",-0.9123,66.38,45-60,18.8442,65302-75-2,-33.91%,"[-1.4574, -0.7215, -2.3808, -1.7869, -0.6401, 1.6109, -2.1631, 0.003]","[-0.5628, 0.1841, -0.2949, 0.0811, -0.1813, -0.0048, -0.2278, 0.3718]",1042.6198,63.73,A operational definition of data quality.,-53.1832,H2O,"[0.1397, 0.6013, 0.8034, 0.7264, 0.9335, 0.8404, 0.7017, 0.0345]"
-58.6807,0.095,"[2.3, 65.57]",-0.1715,23.04,31-74,31.2029,83883-71-2,47.45%,"[0.7945, -0.315, -1.5174, -1.5732, -2.4236, -0.1334, -2.4738, 0.6778]","[-0.5049, 0.531, 0.2685, -0.3496, -0.5544, 0.6407, -0.4204, -0.2161]",1164.7239,62.0,A systematic definition of data quality.,34.9679,Homo sapiens,"[0.5329, 0.7706, 0.9449, 0.6644, 0.6217, 0.0408, 0.2804, 0.9887]"
-49.741,0.726,"[36.78, 83.22]",-0.8378,83.67,37-63,18.0428,6828-56-8,39.9%,"[0.9376, 0.3076, -1.447, -0.4179, 0.8753, 0.0081, 0.6538, -0.7674]","[0.2548, 0.3135, 0.1782, 0.1803, -0.3582, 0.037, 0.2997, -0.2748]",3237.5,73.26,A formal definition of compliance.,42.6406,Fe2O3,"[0.4112, 0.9451, 0.7223, 0.5417, 0.0341, 0.0221, 0.2396, 0.7004]"
-72.1894,0.1746,"[12.97, 72.68]",-0.953,30.65,44-98,1.2667,65565-24-0,32.44%,"[-0.5662, -0.8994, 2.0309, 0.4177, 0.0754, 0.0158, -1.2417, -1.7037]","[-0.0118, 0.2787, -0.7727, 0.9132, -0.5141, -0.0193, 0.649, 0.1842]",3318.594,13.64,A systematic definition of risk.,-91.1241,E. coli,"[0.95, 0.0312, 0.1051, 0.5419, 0.3252, 0.1636, 0.085, 0.1397]"
55.4024,0.1359,"[1.61, 88.65]",0.8862,12.93,36-59,38.3719,76141-72-6,42.91%,"[-0.0051, 0.6345, 1.5461, 1.2743, 1.4289, -0.9876, 0.0395, -0.144]","[-1.2199, -0.1199, 0.939, -0.1206, 0.6818, 0.8962, 0.0639, 0.0159]",7105.3621,36.44,A systematic definition of data quality.,46.0687,C6H12O6,"[0.6433, 0.8786, 0.212, 0.7472, 0.4927, 0.9508, 0.2838, 0.299]"
1.1296,0.5909,"[18.16, 66.2]",0.3988,66.72,37-91,3.5313,53167-93-1,-8.95%,"[-0.4969, -0.8597, -1.0993, 0.8753, 0.4261, 0.9715, -0.8159, -1.4138]","[-0.2691, -0.0219, 0.5774, -0.1289, -0.5441, -0.6701, -0.5711, 0.522]",643.8961,37.05,A operational definition of risk.,1.2624,NaCl,"[0.0863, 0.4302, 0.1823, 0.9982, 0.2229, 0.4397, 0.3237, 0.6923]"
51.7483,0.3301,"[11.98, 93.07]",0.9754,78.54,26-85,9.852,26173-25-4,-32.22%,"[-0.8302, -1.4978, -1.4306, 0.2971, 0.0785, -0.244, 0.4013, 1.018]","[0.4027, -0.1991, -0.0545, 0.2993, 1.0308, -0.3676, 0.9629, 0.6404]",906.5402,22.38,A systematic definition of data quality.,-33.6092,C6H12O6,"[0.6309, 0.0293, 0.7469, 0.6096, 0.0153, 0.2608, 0.1498, 0.9332]"
70.4804,0.4362,"[27.14, 69.79]",0.2987,41.59,12-70,31.2598,68416-56-2,38.53%,"[-1.1396, 2.2234, -0.6739, -0.5487, -0.6797, -0.0579, -0.9191, -2.1133]","[0.3542, 0.0576, 0.6988, -0.4355, -0.0436, -0.5015, -0.4521, 0.7297]",7931.5852,32.22,A systematic definition of compliance.,48.0165,H2O,"[0.9236, 0.8736, 0.5512, 0.0169, 0.1674, 0.1125, 0.0547, 0.9733]"
92.742,0.212,"[0.85, 69.84]",-0.2445,80.16,7-75,24.9707,2887-31-1,-19.85%,"[0.9231, 2.1698, 0.0169, -0.3352, -2.0802, 0.4326, -0.0744, 0.4542]","[-0.7227, 0.1768, -0.0483, 0.0659, 0.1097, 0.1057, -0.4353, -0.131]",1389.3672,63.38,A operational definition of compliance.,72.6623,NaCl,"[0.197, 0.6349, 0.8295, 0.0907, 0.374, 0.1912, 0.5913, 0.8258]"
96.5657,0.0901,"[25.96, 64.7]",0.6736,76.73,9-80,13.5793,79464-34-3,29.71%,"[-1.0388, 0.2314, 0.9619, 0.4533, 0.1588, 0.4697, -1.4532, 1.6877]","[-0.538, -0.718, -0.7489, -0.7686, 0.6299, -0.4221, -0.0541, -0.5511]",-337.1967,54.65,A formal definition of risk.,-1.2328,E. coli,"[0.2617, 0.7492, 0.4331, 0.373, 0.1112, 0.4271, 0.0287, 0.1727]"
-58.0126,0.2324,"[8.7, 96.49]",0.4397,36.8,44-80,48.3825,36638-22-2,11.5%,"[0.3479, -0.9991, -0.1686, -1.5541, -2.0497, 0.3293, 0.0744, -1.9642]","[-0.0249, 0.4376, 0.0402, 0.2042, -0.8124, -0.9335, -1.0839, 0.0451]",9813.9952,9.83,A operational definition of data quality.,53.9128,H2O,"[0.6669, 0.5624, 0.9009, 0.4921, 0.1542, 0.7784, 0.5084, 0.1545]"
-22.3793,0.0091,"[34.34, 68.18]",0.4852,93.27,23-69,25.6555,97986-39-6,-7.87%,"[-0.5779, 1.2606, -1.2613, 0.0764, 0.1389, 0.5467, 0.1924, 0.8709]","[0.1913, 0.0065, -0.2396, 0.396, 0.6009, 0.898, 0.251, -0.9726]",8252.4665,93.79,A formal definition of data quality.,41.4608,Fe2O3,"[0.6859, 0.9619, 0.3571, 0.0933, 0.7288, 0.3351, 0.6549, 0.9631]"
13.3937,0.7868,"[6.56, 97.73]",-0.9009,55.78,7-86,34.7127,58262-11-8,10.01%,"[-0.1459, 0.2525, 1.1662, 0.373, 0.7023, -1.183, 2.482, 1.8366]","[0.0873, 0.0913, -0.5186, 0.3803, 0.3526, 0.0652, -0.2035, 1.2392]",8475.7701,99.04,A formal definition of data quality.,64.6736,H2O,"[0.1323, 0.7248, 0.0603, 0.4702, 0.2491, 0.2868, 0.2921, 0.8146]"
21.1192,0.607,"[25.55, 64.52]",-0.6873,7.93,48-66,22.1332,95913-91-8,42.31%,"[0.7308, 0.3002, -0.0857, 0.0596, 2.0977, -0.2034, 1.6111, -1.5054]","[-0.2986, -0.1798, -0.5827, -0.5418, 0.1685, 0.2628, 0.8405, -0.8828]",7707.6236,5.44,A formal definition of data quality.,50.6898,H2O,"[0.5296, 0.034, 0.323, 0.0467, 0.2973, 0.9039, 0.2192, 0.0984]"
79.715,0.6263,"[17.18, 61.11]",-0.3096,10.51,43-55,2.8596,41140-41-5,-30.25%,"[0.1679, -2.5339, -0.2501, -0.5519, 0.0235, 0.9614, 0.4206, 1.6549]","[-0.3556, 0.5037, -0.2024, -0.1614, -0.4683, -0.1512, 0.1452, -0.2833]",5241.8913,26.89,A operational definition of risk.,71.2234,H2O,"[0.1145, 0.6155, 0.8315, 0.3224, 0.7892, 0.3383, 0.7324, 0.9806]"
64.2719,0.9711,"[37.5, 69.68]",-0.9696,96.55,7-62,47.7189,79631-28-4,-31.94%,"[0.8264, 0.8749, 1.6406, 0.8964, 0.1012, -0.1715, 0.8961, 0.8448]","[0.5666, -1.133, 0.5182, 0.6676, 0.1921, -0.1496, -0.2074, 1.1227]",9753.0017,20.94,A systematic definition of compliance.,89.2254,H2O,"[0.0567, 0.3552, 0.737, 0.8431, 0.2753, 0.8234, 0.8658, 0.1461]"
-11.435,0.7112,"[18.1, 84.81]",0.8419,12.5,32-59,13.7145,36030-11-4,46.49%,"[0.7776, 0.9565, 0.4208, 0.4398, 1.3454, 0.222, -0.0283, 0.2802]","[-1.0891, -0.0549, 1.017, 1.0345, -0.7513, 0.1525, -0.4134, 0.0686]",3520.0594,72.23,A operational definition of compliance.,94.1243,E. coli,"[0.1578, 0.4155, 0.1814, 0.8807, 0.632, 0.2746, 0.8941, 0.7265]"
-37.8811,0.7097,"[14.75, 77.36]",0.3375,12.87,38-80,23.3583,19925-88-1,-9.53%,"[-1.0781, -2.0491, -0.6199, 0.3369, 0.846, -0.9988, -0.9667, 0.5484]","[-0.1372, 0.3556, -0.7545, 0.2377, -0.1702, -0.0038, 0.3712, -0.5508]",2641.3291,70.79,A systematic definition of compliance.,-0.283,H2O,"[0.0187, 0.785, 0.7771, 0.3843, 0.5324, 0.202, 0.8851, 0.6704]"
-7.6136,0.8986,"[8.41, 62.42]",-0.0265,19.03,7-82,48.6524,36467-74-1,47.75%,"[1.0756, -0.264, 0.2688, 1.7534, 0.508, -0.0123, -1.0724, -0.2847]","[-0.5686, 0.7907, -1.2886, 0.3781, -0.2228, -0.3757, 0.0855, 0.2189]",7779.1806,29.4,A operational definition of compliance.,94.672,H2O,"[0.6533, 0.2501, 0.8891, 0.3384, 0.3762, 0.8387, 0.6069, 0.1082]"
-6.3473,0.6892,"[11.06, 64.18]",-0.0915,42.89,42-67,37.7738,73356-33-3,-22.5%,"[-0.1909, -0.5781, -0.8889, -0.8402, -0.4572, 0.2414, 0.8491, 1.2328]","[0.5839, -0.7908, -0.0426, -0.2817, 0.1223, 0.7081, -0.1266, -0.5054]",4887.2073,69.35,A operational definition of risk.,-56.2963,NaCl,"[0.568, 0.5612, 0.5885, 0.388, 0.6105, 0.7864, 0.9993, 0.8688]"
19.5513,0.4943,"[21.87, 84.79]",0.9257,24.47,16-66,7.6097,67607-15-1,9.58%,"[-0.6358, -1.2339, -0.713, 0.8053, -1.299, -0.8459, -0.9213, 0.062]","[-0.1222, 0.578, -0.0732, 0.9781, -0.2048, 0.4376, -0.385, -0.8753]",388.7567,23.88,A operational definition of compliance.,-11.6493,H2O,"[0.5556, 0.8673, 0.2279, 0.2836, 0.7026, 0.3817, 0.8406, 0.8583]"
14.0025,0.2504,"[14.6, 65.52]",0.9934,32.85,30-60,14.4262,80209-52-6,21.75%,"[-0.37, 0.7231, -0.2646, 1.3229, -3.0498, -0.1901, -1.3093, -0.7776]","[0.1666, 0.7977, 0.9041, -0.4599, -0.1, 0.5034, 0.9225, 0.3606]",8989.7328,81.51,A formal definition of data quality.,-67.2342,Fe2O3,"[0.9233, 0.7345, 0.8315, 0.7874, 0.809, 0.4852, 0.1955, 0.881]"
-33.9231,0.0038,"[10.71, 61.04]",0.4431,56.34,4-90,32.3305,95157-67-0,-10.16%,"[-0.8078, -0.3352, 1.3703, -0.0341, -0.0609, -0.2077, 0.8329, 1.3403]","[0.2293, -0.3186, 0.6568, 0.1188, -0.3488, 0.816, 0.4618, 0.3506]",1134.9278,21.6,A operational definition of data quality.,17.0886,H2O,"[0.0019, 0.985, 0.6133, 0.5174, 0.3194, 0.8505, 0.2372, 0.4753]"
-90.5584,0.4057,"[31.92, 83.39]",-0.7008,50.57,41-97,24.6485,18007-50-7,-7.29%,"[0.5875, -1.742, -0.8455, 1.1999, -0.6291, 0.423, 1.3454, -0.6833]","[0.7699, -0.4157, -0.6811, -0.4453, 0.2765, 0.3237, 0.4491, 0.3268]",7409.4452,60.36,A systematic definition of risk.,5.1519,Fe2O3,"[0.6053, 0.6978, 0.5688, 0.9223, 0.8545, 0.378, 0.9201, 0.7785]"
38.5762,0.2939,"[39.28, 92.64]",0.8999,4.24,44-64,43.3353,47905-92-4,6.29%,"[1.2829, 0.4611, -0.2604, 0.4315, 0.7025, 0.3097, 0.3195, -0.2483]","[-0.7696, -0.2628, 0.8175, -0.4164, 0.3217, 0.5655, 1.0461, 0.1143]",7640.523,44.96,A systematic definition of risk.,-61.5126,E. coli,"[0.87, 0.825, 0.3824, 0.9685, 0.374, 0.9584, 0.8577, 0.611]"
-85.7632,0.53,"[30.65, 88.69]",-0.6186,26.78,47-65,35.2979,24345-90-5,32.67%,"[-0.8415, -0.8126, -0.4479, 0.0124, -1.6378, -0.7131, -0.7531, 0.4175]","[0.2699, 0.1017, -0.3143, 0.2123, 0.7328, 0.501, 0.3294, -0.1677]",-6.56,92.35,A operational definition of risk.,-90.9436,NaCl,"[0.8968, 0.4762, 0.5606, 0.8506, 0.3625, 0.6865, 0.1048, 0.8796]"
25.7775,0.1663,"[39.04, 61.97]",0.0408,55.48,42-79,36.5956,98978-26-7,13.86%,"[-0.6356, 2.4789, -0.8466, 0.8159, 0.4925, -1.1308, -0.7225, 0.2579]","[-0.0525, 0.1996, -0.0907, 0.06, -0.367, -1.1744, 0.2108, -0.5309]",9057.057,64.21,A formal definition of data quality.,-48.6812,E. coli,"[0.8792, 0.1429, 0.0105, 0.0464, 0.9629, 0.7789, 0.5942, 0.6655]"
34.0038,0.3895,"[23.9, 89.77]",0.6281,48.9,17-100,17.2516,93709-97-2,-32.63%,"[0.2537, 1.0419, -1.4769, 0.8538, -0.5467, -0.3589, -0.1583, 0.5123]","[-0.2933, -0.5891, -0.1536, -0.2491, 0.3559, 0.2714, -0.5874, -0.295]",5309.1083,39.64,A operational definition of risk.,25.2525,C6H12O6,"[0.5237, 0.8145, 0.5434, 0.7111, 0.5598, 0.1385, 0.2667, 0.7998]"
46.4256,0.809,"[36.94, 83.59]",-0.8315,18.35,19-81,6.9455,55790-36-3,-46.65%,"[0.2969, 0.861, -0.2867, -0.7679, 1.4641, 0.0392, 0.5869, -0.284]","[-1.1543, -0.0461, 0.0162, 0.8302, 0.3414, -0.3949, -0.2844, 0.9513]",-571.4409,30.96,A formal definition of compliance.,58.7312,C6H12O6,"[0.5711, 0.1178, 0.7503, 0.8738, 0.673, 0.8242, 0.4367, 0.3606]"
38.669,0.4713,"[8.92, 89.84]",-0.9415,15.47,41-83,23.9339,42009-30-7,19.4%,"[-0.1404, -0.851, 1.0181, 0.2024, -1.0667, 1.7397, 0.3202, -0.223]","[0.2259, 0.1247, 0.4327, 0.4108, 0.7281, 0.9145, 0.2464, -0.0563]",597.9093,37.54,A systematic definition of compliance.,-74.8612,Fe2O3,"[0.7735, 0.5444, 0.8324, 0.0212, 0.764, 0.6, 0.6079, 0.9596]"
85.1385,0.5219,"[27.65, 78.95]",0.2418,3.06,13-67,20.6361,3865-57-7,38.8%,"[0.4465, 1.4206, 0.6197, 0.5303, 0.6012, -0.2082, -0.8342, -0.6392]","[0.7878, -0.2475, -1.3357, -1.3287, 0.4028, -0.6692, -0.6673, 0.5356]",5131.7548,14.86,A operational definition of compliance.,59.8353,C6H12O6,"[0.5018, 0.764, 0.1933, 0.4694, 0.1254, 0.1038, 0.5114, 0.632]"
29.1045,0.5549,"[27.74, 95.61]",0.4059,31.32,15-53,48.5257,81470-92-7,-33.44%,"[0.1904, -0.009, -1.8678, -0.0033, 0.4449, -1.7782, 0.4626, 0.3277]","[0.1149, -1.0913, 0.5989, 0.5989, -0.0239, -0.2722, 0.5011, 0.1303]",8792.1539,55.58,A systematic definition of compliance.,-87.2113,NaCl,"[0.7023, 0.6962, 0.3653, 0.6608, 0.4196, 0.8363, 0.6306, 0.6409]"
-15.6097,0.2155,"[12.38, 98.06]",0.7026,99.71,0-68,37.1179,10301-22-5,-37.91%,"[-0.3616, -1.2737, -0.5344, 1.2638, 0.147, -1.2293, 0.2735, -0.3921]","[0.2721, 0.3093, -0.5724, 0.4553, 0.6082, -0.1889, -0.5916, 0.1918]",4911.1081,62.41,A formal definition of compliance.,58.8241,H2O,"[0.2348, 0.5778, 0.9357, 0.6187, 0.928, 0.1776, 0.5265, 0.1209]"
