changelog_entry,naics_code,density,dim_657,p_276,pch60,unitOfMeasure,x_772,frequency,riskLevel,measvol
v0.20.55: Improved authentication.,165670,6.835,025204579,27805.2,5.9.80,lb,884.13,9387.72,Low,954.9
v1.18.48: Removed authentication.,572116,16.687,454939444,80100.8,3.15.17,L,238.15,3412.77,Medium,5171.23
v2.8.96: Added support for caching.,722756,0.601,287985267,95688.8,1.13.72,m,610.24,1336.75,Negligible,6221.3
v3.2.31: Improved authentication.,340169,18.151,359782984,18133.2,2.11.59,lb,514.68,8209.71,Low,8823.13
v0.5.77: Added support for logging.,700450,10.938,469648851,73072.1,1.18.28,kg,678.06,8500.93,High,4605.94
v1.17.48: Fixed bug in caching.,593764,17.185,730546399,60521.4,4.3.54,lb,590.39,7454.94,Critical,3562.09
v0.3.24: Added support for API.,867298,11.702,743010431,51032.2,4.2.18,kg,695.11,7618.57,Critical,7358.0
v4.20.69: Added support for API.,873007,6.968,970263537,75505.4,3.14.40,kg,102.2,8623.24,Negligible,4251.34
v5.15.94: Removed caching.,930669,15.595,486507363,41928.3,5.8.0,°F,169.94,1484.91,Medium,8190.04
v0.20.68: Added support for logging.,203607,8.301,951535338,31130.8,2.15.39,lb,244.77,7209.48,Medium,896.78
v5.15.34: Fixed bug in authentication.,695010,17.884,287738248,44458.1,2.6.20,kg,615.7,7659.74,Critical,4420.04
v4.14.69: Fixed bug in logging.,613437,2.567,850773490,13670.4,2.1.53,m,492.61,6811.92,Low,509.07
v4.11.36: Fixed bug in logging.,771734,5.129,445537313,19833.5,1.4.66,L,80.15,1575.62,Negligible,7463.43
v3.13.47: Added support for logging.,437392,10.042,884708217,47315.0,1.5.84,°F,640.4,7911.1,Critical,3613.73
v0.2.83: Fixed bug in caching.,958083,9.6,107095714,38059.5,1.16.13,lb,879.98,7976.59,Negligible,4485.22
v5.18.99: Removed authentication.,760405,14.876,208501026,67503.2,1.19.15,gal,432.57,9893.68,Medium,7788.91
v4.15.95: Fixed bug in API.,721897,14.598,748545017,4625.0,3.20.82,gal,903.65,2093.21,Negligible,3096.96
v5.12.94: Added support for API.,575651,18.218,545183079,22903.9,2.3.23,°F,679.62,7456.18,Negligible,2578.56
v2.9.37: Removed caching.,836054,13.713,563565582,28319.5,0.11.22,kg,893.95,7159.58,Low,2435.59
v3.7.24: Removed caching.,198348,2.271,556915344,26420.8,2.14.2,ft,836.1,6720.61,High,134.85
v1.5.17: Improved caching.,360163,6.126,135056826,65213.8,1.4.70,m,778.99,9834.79,Critical,3960.31
v1.1.85: Fixed bug in authentication.,590301,11.06,611094837,1225.5,1.18.40,m,113.19,1766.21,Critical,8671.09
v4.5.94: Fixed bug in logging.,519338,6.589,582662994,93474.9,0.7.8,ft,146.64,9605.72,High,6348.1
v4.4.34: Fixed bug in logging.,893167,2.377,431649134,27828.5,2.19.97,°C,197.12,1137.32,Negligible,4024.71
v5.17.53: Removed API.,564020,5.065,452808574,9387.2,5.5.39,°F,399.53,4931.87,High,6097.42
v5.3.47: Fixed bug in API.,512070,19.84,294636772,45998.8,1.4.76,m,412.02,8257.59,Negligible,9373.79
v3.16.27: Fixed bug in logging.,861829,0.444,720901191,19641.0,1.14.37,ft,963.98,5645.59,Medium,5123.16
v0.5.93: Fixed bug in authentication.,662058,9.042,704485596,66596.6,1.7.91,ft,532.49,2721.76,Negligible,7779.2
v0.20.73: Added support for authentication.,925565,17.085,158425614,14854.2,4.7.70,ft,112.24,723.76,Negligible,7482.73
v2.15.4: Fixed bug in logging.,729156,10.576,728547894,7149.8,4.15.63,m,858.61,7501.49,Critical,2313.38
v5.12.83: Removed API.,597967,13.902,812675998,94638.9,1.5.79,°F,803.4,797.85,Low,9270.08
v5.1.67: Removed API.,516272,19.772,654866299,52021.3,0.16.12,gal,978.47,5486.58,High,3828.04
v4.4.37: Added support for caching.,438710,11.826,109083777,31998.2,3.18.79,ft,666.84,7649.8,Low,9831.07
v4.7.30: Fixed bug in caching.,342572,7.242,296109175,66984.5,1.15.25,ft,7.45,5190.6,Low,4183.28
v2.2.23: Removed API.,642580,14.463,157592098,88673.2,2.20.20,kg,186.0,6111.07,High,1969.89
v4.12.13: Added support for logging.,197239,0.96,167086189,95349.9,3.20.71,°F,458.54,5820.26,Negligible,3138.84
v4.13.83: Removed authentication.,502692,17.611,455059550,9014.3,3.13.40,°F,509.57,2906.4,Negligible,3871.54
v5.18.74: Removed caching.,874056,7.74,728788746,29476.8,1.0.63,lb,733.55,5678.51,Critical,3333.96
v3.13.33: Removed API.,982880,1.428,961513359,83944.1,3.15.47,°C,669.28,3571.43,High,8428.53
v4.15.41: Added support for API.,648035,9.715,732643534,82370.2,0.7.61,lb,978.76,3210.79,Critical,1835.7
v3.7.44: Added support for authentication.,374668,14.234,704249931,47816.3,4.1.0,lb,218.8,5130.35,Medium,6071.05
v0.13.53: Improved logging.,844810,16.258,811791720,17786.3,1.15.80,gal,579.48,4112.76,High,2861.4
v2.1.29: Improved caching.,155922,8.904,812643357,5965.8,0.17.78,lb,321.14,4641.56,Negligible,1673.61
v0.18.30: Removed caching.,727280,0.559,058100641,73150.1,2.18.1,ft,839.11,6911.04,High,1608.79
v1.6.60: Removed caching.,114886,2.328,211773488,65186.8,5.19.42,L,18.03,5113.48,Low,1034.73
v1.8.8: Fixed bug in logging.,159902,5.15,744107509,65715.7,1.0.52,°C,896.84,4520.83,High,4412.11
v5.20.49: Added support for authentication.,170808,11.369,036680274,63975.2,3.8.37,lb,837.29,5236.0,Low,1461.89
v2.13.12: Added support for logging.,385806,14.618,376688639,11929.0,1.3.32,L,456.77,3689.4,Critical,2813.32
v5.9.93: Removed authentication.,355741,3.762,264487696,27875.2,3.17.27,°C,135.91,4194.24,Medium,829.8
v2.2.22: Improved API.,577879,7.607,535893899,1400.2,1.11.90,L,927.06,9534.92,Critical,2804.94
v1.15.70: Improved caching.,115786,8.83,049783626,47923.2,5.11.94,gal,771.45,1958.07,High,6929.49
v4.4.86: Improved caching.,470529,15.209,805526114,20241.7,1.19.60,m,984.39,8042.78,Medium,3732.05
v5.19.4: Removed authentication.,518094,12.477,725827340,4646.8,4.11.44,lb,862.55,574.75,Critical,2182.91
v0.17.16: Fixed bug in authentication.,903227,3.922,805465422,42956.5,2.14.41,°C,681.09,3275.93,Medium,5674.49
v2.18.40: Fixed bug in authentication.,671318,6.779,387376379,49480.1,4.14.26,gal,160.98,6035.01,Critical,6090.31
v3.20.3: Fixed bug in caching.,505638,3.471,754345397,87658.2,3.15.79,gal,545.61,5346.21,High,6870.1
v3.5.50: Fixed bug in logging.,525456,11.781,781463707,71612.4,1.2.47,kg,883.47,8036.49,Negligible,1339.55
v4.1.68: Added support for logging.,936225,3.131,778117371,70106.7,5.5.28,ft,578.42,8059.69,Critical,5197.64
v2.12.12: Fixed bug in logging.,857934,18.344,053664277,27355.1,5.5.9,gal,640.25,8581.2,Negligible,5897.23
v3.5.8: Removed authentication.,192704,10.287,211813548,78047.5,5.6.93,°C,721.12,474.26,Critical,7600.35
v3.8.18: Improved caching.,951052,17.798,427756375,29157.4,3.16.16,L,418.13,2559.38,Medium,3126.74
v2.2.38: Removed caching.,742149,10.244,658533441,18156.4,3.14.79,lb,99.52,7362.57,High,4404.86
v0.17.86: Removed logging.,790800,1.256,597706508,32387.9,4.17.88,gal,683.98,6122.55,Critical,5610.77
v2.10.16: Removed caching.,875751,1.537,243834542,9428.6,3.8.33,°C,535.55,8629.33,Low,8321.97
v1.12.29: Added support for authentication.,826296,2.784,578525312,76238.5,0.3.11,lb,493.35,8463.2,Negligible,4796.14
v4.4.56: Removed authentication.,662701,12.056,775988642,16593.6,0.4.96,ft,792.58,4459.88,Low,6694.9
v4.14.25: Fixed bug in API.,331409,9.183,140127841,3742.3,2.12.59,gal,966.68,3666.74,High,904.36
v1.11.8: Fixed bug in caching.,250953,4.726,420724064,57011.3,3.12.33,°F,477.59,6368.4,Critical,4525.83
v0.5.43: Fixed bug in authentication.,810026,2.243,988976899,10771.1,3.4.92,L,234.92,1891.61,Low,8707.03
v0.12.60: Removed authentication.,449593,14.082,092110193,65810.8,1.19.35,L,187.06,2006.69,Negligible,9485.45
v4.13.96: Removed authentication.,969588,5.2,547096760,87071.0,4.16.49,kg,983.29,8778.87,Critical,8311.35
v0.14.30: Removed API.,392826,11.762,124596898,17116.5,4.13.20,°F,866.73,3739.13,High,7707.09
v1.19.31: Fixed bug in logging.,731884,17.2,121149224,15285.8,5.19.66,lb,961.65,8114.94,Critical,9294.88
v5.8.37: Fixed bug in caching.,814582,16.747,847206204,66134.6,2.2.92,°F,289.5,2690.07,Low,8355.92
v3.16.81: Added support for logging.,885106,6.278,267889553,69152.1,4.7.29,L,181.64,3383.73,High,617.46
v2.2.62: Fixed bug in authentication.,489512,14.545,490439479,56620.2,4.5.70,°C,941.77,9913.36,Medium,3512.85
v4.15.99: Improved caching.,913366,12.58,980148137,15067.8,1.4.72,kg,39.36,6485.07,High,1042.57
