district_borough,latitude,csmm16,fips,loctxt,iso_country_code,elevation_altitude,jio76,address_line,airport,port_harbor,regionStateProvince,continent,p_coo,landmark_poi,longitude
West End,12.978143,ZL2 5HO,43005,"Austin, Australia",FR,2440,2967.6,1698 Park Blvd,CDG,Rotterdam,CO,Europe,"-68.464638, -11.54951",Golden Gate Bridge,74.952855
West End,-63.375426,34370,44309,"Phoenix, Germany",MX,7757,1918.1,8409 Main St,JFK,Rotterdam,WA,Africa,"-53.279554, -16.667517",Central Park,-168.748204
Midtown,16.365846,40986,47573,"Miami, United States",IN,3271,2351.6,7766 Main St,JFK,Shanghai,IL,Europe,"42.488491, -63.854792",Eiffel Tower,-65.582221
East Side,41.735665,WJ4 2WO,05620,"Chicago, Netherlands",DE,3104,7597.0,4280 Cedar Ln,LAX,Busan,IL,Antarctica,"-43.115657, 176.778882",Eiffel Tower,157.24314
South Bay,1.063631,KJ2 8ZN,35586,"Phoenix, France",US,6421,9230.5,2179 Pine Rd,NRT,Shanghai,GA,Oceania,"-82.520118, 154.529672",Golden Gate Bridge,-55.234195
Downtown,31.370644,23104,49578,"Paris, United Kingdom",AU,2783,3691.5,4807 Pine Rd,LHR,Port of LA,WA,Asia,"-45.214793, -29.437278",Central Park,-107.888995
North Shore,83.943086,39233,27478,"Portland, Netherlands",CA,6962,1004.8,178 Maple Dr,NRT,Rotterdam,FL,Africa,"32.751458, -5.724079",Eiffel Tower,-42.280829
Downtown,-67.130335,PA7 6HZ,05179,"Houston, Sweden",IN,4857,8562.7,6355 Pine Rd,SIN,Rotterdam,PA,Africa,"-9.665218, -129.308546",Central Park,-81.773203
North Shore,-12.594087,CT2 7OR,41464,"Miami, Singapore",AU,4124,4914.0,4236 Main St,LAX,Hamburg,NY,Oceania,"-24.548012, -91.165275",Central Park,-16.901605
West End,-31.283288,61261,54106,"San Francisco, Germany",FR,3733,5415.1,4455 Main St,LHR,Hamburg,MA,Europe,"62.171433, -8.364031",Golden Gate Bridge,-55.550084
East Side,57.334414,SJ2 5EL,43771,"Los Angeles, Spain",AU,3121,4086.9,922 Oak Ave,SFO,Busan,IL,Europe,"1.276456, 8.22611",Eiffel Tower,-138.280986
Midtown,-63.257591,NP9 4JG,23549,"Dallas, Israel",CA,7489,8820.4,7638 Cedar Ln,LHR,Hamburg,IL,South America,"77.611053, 73.300719",Statue of Liberty,-126.709294
West End,38.272609,IH8 7GN,26181,"Paris, Norway",CA,1158,4614.6,1899 Park Blvd,CDG,Shanghai,FL,Oceania,"-28.351333, 92.658094",Golden Gate Bridge,171.802875
North Shore,-41.517958,16246,28682,"Tokyo, Switzerland",MX,5419,5025.6,2105 Pine Rd,NRT,Hamburg,CO,Europe,"50.723189, -157.989923",Statue of Liberty,83.165336
South Bay,-62.915574,92296,18125,"Toronto, Israel",DE,4802,9123.7,1396 Maple Dr,LAX,Shanghai,NY,North America,"-25.879849, -68.392136",Central Park,28.725813
East Side,61.674196,28691,36977,"Dallas, Norway",FR,440,3092.4,6063 Oak Ave,SIN,Busan,NC,Africa,"88.526797, 104.497729",Eiffel Tower,-47.455041
East Side,-12.418952,ZH1 8ZV,29585,"Sydney, Norway",JP,1160,6671.0,8 Pine Rd,JFK,Singapore,NC,Oceania,"-26.345532, 114.116664",Central Park,43.725215
West End,-85.839471,39945,18974,"San Francisco, Germany",JP,584,2719.5,1025 Cedar Ln,JFK,Hamburg,NY,South America,"-62.721855, -161.046463",Eiffel Tower,116.253176
Downtown,46.271343,13719,01184,"Tokyo, Spain",US,948,7830.5,1535 Maple Dr,SIN,Shanghai,OH,Antarctica,"62.251702, -116.465537",Statue of Liberty,-160.266935
West End,89.859154,41540,31517,"Denver, United States",FR,8002,3449.4,4800 Maple Dr,CDG,Hamburg,WA,Asia,"-65.447514, -42.416759",Eiffel Tower,-104.134716
Midtown,49.831264,RR5 7KC,37941,"Los Angeles, Australia",FR,3174,7919.9,9162 Oak Ave,NRT,Port of LA,FL,North America,"-68.848347, 106.073374",Big Ben,58.257158
West End,29.066577,ZS1 4LU,48580,"Boston, Mexico",CA,7851,6828.5,3186 Oak Ave,NRT,Busan,OH,Oceania,"-47.929941, 90.339006",Central Park,164.56221
South Bay,60.16545,DR3 2UR,11095,"Atlanta, United States",AU,2985,5689.8,3601 Main St,CDG,Singapore,OH,Oceania,"3.78488, 63.05812",Central Park,15.849797
Downtown,-62.234739,RR4 7SV,31932,"New York, France",JP,7268,6081.5,5185 Oak Ave,SFO,Singapore,WA,Asia,"28.684084, 145.266362",Statue of Liberty,55.974485
Midtown,-27.23767,OW3 9MH,38580,"Atlanta, Japan",FR,172,6635.7,3794 Pine Rd,NRT,Hamburg,NY,North America,"-49.413926, -9.041644",Golden Gate Bridge,44.294467
West End,-32.260179,TU1 4TV,24786,"London, France",IN,6065,6157.2,5571 Oak Ave,LAX,Port of LA,CO,Antarctica,"39.226265, -98.467108",Eiffel Tower,151.08386
Midtown,-9.964014,KG5 9VB,55183,"Portland, Israel",AU,6309,5211.4,9419 Elm St,ORD,Rotterdam,GA,Asia,"8.611545, 80.839369",Eiffel Tower,-170.201247
Downtown,32.417346,93160,45974,"Dallas, Mexico",FR,4949,5505.7,5080 Cedar Ln,ORD,Port of LA,MA,Asia,"-79.750286, -142.254671",Statue of Liberty,127.972647
East Side,-87.494042,27651,11106,"Toronto, Sweden",JP,795,1339.6,4115 Elm St,LHR,Hamburg,TX,North America,"83.009336, -104.83077",Central Park,68.809182
Downtown,40.15896,73803,09521,"Chicago, Canada",GB,7336,1723.3,5597 Park Blvd,SIN,Shanghai,IL,North America,"-61.962916, -102.742082",Central Park,51.693616
East Side,47.273916,95882,48217,"Denver, United States",GB,2494,3489.6,7651 Cedar Ln,CDG,Singapore,GA,South America,"20.008322, -137.491378",Eiffel Tower,-3.923358
East Side,-61.131776,GJ6 6RF,41638,"Dallas, Netherlands",JP,6416,1596.3,9504 Oak Ave,SFO,Hamburg,CA,South America,"71.312308, 24.055349",Golden Gate Bridge,-152.96931
West End,-0.277615,YO7 4YO,49569,"Seattle, Spain",AU,4685,7696.5,5799 Pine Rd,CDG,Shanghai,MA,Africa,"-14.815216, -51.08328",Golden Gate Bridge,63.714028
East Side,40.124407,83496,27883,"Dallas, Canada",AU,7501,5990.8,9521 Cedar Ln,NRT,Shanghai,TX,North America,"-22.669889, 50.818513",Golden Gate Bridge,41.848193
West End,-15.690568,50685,56170,"San Francisco, India",AU,8084,6173.3,760 Park Blvd,JFK,Shanghai,NC,Africa,"-16.698233, -177.577915",Big Ben,-100.66606
South Bay,50.797364,QL1 5DN,10782,"Toronto, Italy",US,2566,276.1,2588 Oak Ave,SFO,Rotterdam,TX,Europe,"47.871597, 112.845185",Statue of Liberty,-175.497622
North Shore,57.062893,IW7 3PM,16332,"Houston, Mexico",IN,7502,2635.6,7722 Elm St,LAX,Shanghai,OH,North America,"-66.320329, 35.0542",Golden Gate Bridge,-80.712534
North Shore,17.692872,RK4 4KQ,56677,"Portland, Israel",MX,990,4332.6,5693 Oak Ave,SFO,Busan,OH,South America,"38.215306, -128.465001",Statue of Liberty,77.57797
South Bay,32.318953,10919,37710,"Los Angeles, United Kingdom",IN,1371,4965.4,4947 Park Blvd,SIN,Rotterdam,TX,North America,"-75.679185, 141.726746",Big Ben,-94.026049
East Side,63.109901,TW2 1KV,01289,"Miami, Netherlands",CA,7310,8998.7,4411 Main St,JFK,Busan,IL,South America,"-1.664671, 99.555242",Eiffel Tower,-85.778968
South Bay,88.572829,45723,11092,"New York, Mexico",GB,173,6759.1,4824 Park Blvd,LAX,Hamburg,NY,South America,"22.892909, 161.722469",Golden Gate Bridge,-82.283978
Downtown,59.968689,FK6 1WL,20123,"Miami, Germany",MX,688,5737.7,7504 Maple Dr,SIN,Singapore,CA,Antarctica,"63.8747, 118.223648",Statue of Liberty,178.3107
South Bay,72.485022,VM2 7SI,08217,"Dallas, Germany",GB,8779,2625.6,9120 Oak Ave,CDG,Hamburg,IL,Antarctica,"51.269063, 31.668294",Golden Gate Bridge,13.714371
Midtown,-2.81195,WN3 3NT,54673,"Houston, Spain",AU,4025,5980.4,7127 Main St,ORD,Singapore,CO,North America,"-86.501325, -118.904614",Eiffel Tower,-52.517433
Downtown,28.443884,91777,49889,"Austin, Spain",MX,6187,5835.4,5478 Park Blvd,SIN,Rotterdam,NC,Asia,"18.162168, 137.091829",Statue of Liberty,-55.408009
South Bay,28.880375,72476,23581,"Paris, India",MX,1293,2427.5,8858 Elm St,SIN,Busan,GA,Africa,"66.727312, -139.320656",Statue of Liberty,-148.115813
South Bay,33.932626,CD4 4ZP,40334,"Seattle, Australia",DE,1436,2659.6,2727 Maple Dr,LAX,Busan,MA,North America,"30.449605, 136.185664",Central Park,-127.961472
North Shore,-2.671172,HH9 8YT,42042,"Paris, United Kingdom",DE,2720,1726.9,828 Park Blvd,ORD,Rotterdam,CA,Asia,"-39.25342, -74.2535",Eiffel Tower,130.149078
Downtown,18.670376,YR2 7IS,23488,"Houston, Canada",FR,2213,6686.2,5583 Pine Rd,JFK,Port of LA,NC,Antarctica,"65.805675, -112.904033",Golden Gate Bridge,-120.937497
West End,47.67534,26305,35820,"Boston, Germany",DE,8000,4922.0,4519 Oak Ave,NRT,Port of LA,FL,North America,"61.132942, 85.989394",Big Ben,26.630356
West End,37.297709,PH4 4LQ,08239,"San Francisco, Switzerland",GB,2558,468.9,5484 Park Blvd,ORD,Hamburg,NC,Africa,"20.928469, 19.092794",Golden Gate Bridge,-34.543909
Downtown,-73.365561,AU1 7FB,33141,"Houston, France",FR,61,4570.7,6185 Cedar Ln,NRT,Busan,OH,Oceania,"-29.186977, 114.183966",Big Ben,-125.148349
North Shore,-66.983539,HX6 1UD,07246,"Austin, India",MX,6076,5417.7,9503 Maple Dr,JFK,Hamburg,NY,Antarctica,"11.415582, 123.066039",Statue of Liberty,-77.291397
North Shore,77.471594,45595,43934,"Tokyo, India",MX,7095,1408.1,4830 Cedar Ln,ORD,Busan,CA,Asia,"-1.890757, 103.278165",Golden Gate Bridge,176.986871
South Bay,-70.603091,NH5 1IM,21104,"Portland, Mexico",FR,4899,4206.5,5950 Cedar Ln,NRT,Hamburg,TX,Antarctica,"-37.366515, -65.44752",Golden Gate Bridge,-131.533012
North Shore,46.117261,ZM5 7KA,36626,"Boston, United States",FR,3803,9812.0,7794 Pine Rd,NRT,Rotterdam,TX,Europe,"79.043945, -144.749623",Big Ben,73.045799
North Shore,80.717346,79066,15631,"Denver, Norway",BR,7825,8954.6,2171 Elm St,SIN,Busan,TX,Asia,"-44.755343, -125.420131",Golden Gate Bridge,-138.389177
West End,84.724151,AW4 9VG,18776,"Houston, Japan",FR,7679,1374.5,3762 Park Blvd,SIN,Rotterdam,CA,Africa,"-36.446004, -155.217924",Big Ben,-55.606535
East Side,-81.126558,NH3 4TT,36680,"Berlin, Norway",BR,3336,2261.2,6109 Oak Ave,LAX,Port of LA,GA,Asia,"74.892048, -111.891715",Big Ben,-48.345746
South Bay,77.19293,ZF7 4FC,34619,"Austin, Spain",CA,898,5567.8,5680 Park Blvd,LAX,Hamburg,TX,North America,"53.821458, 36.590418",Golden Gate Bridge,-114.716155
Downtown,-0.555087,RH5 3YU,01422,"Austin, Australia",DE,5129,3394.1,5058 Oak Ave,LHR,Shanghai,PA,Oceania,"-8.326198, -144.435226",Statue of Liberty,-19.867819
South Bay,-87.735361,84069,44967,"Denver, Japan",FR,2330,2770.4,3211 Park Blvd,JFK,Port of LA,PA,Oceania,"-75.411365, 86.567486",Big Ben,-99.010167
East Side,-55.311233,94927,15004,"Paris, Norway",GB,4909,2545.0,8237 Oak Ave,JFK,Singapore,TX,Europe,"-74.959062, 145.767932",Golden Gate Bridge,-1.526843
