cusipNumber,budget_allocation,yyw8,c_kwc,ticker,iso_currency_code,cryptocurrency_address,legalEntityIdentifier,quarter,x_976,market_value,etl_batch_id
H7BI8TJWO,"$1,266,302",85.3396,507,KA,USD,0x585dde7ce6be186544c4a76fa93360a67222e142,HOE3MXZJFY4W8TR98W07,Q2 2025,INV-351765,"$777,870,137",batch-20210628-92
DVYJHMIE8,"$2,364,351",142.1116,491,RJG,JPY,0x43dc31dd865b57be94579ec4ceaf5357d6e98f13,KCMNT6U777LDM1VL7UO4,Q2 2020,INV-994905,"$990,774,971",batch-20200908-02
Q9ENZ9JN7,"$2,399,430",8.3696,571,OFUE,CHF,0xd454b093c3fa08a1fde21581e425f4e6ec4daa07,XFX3AT253IQQUOLGQE6X,Q1 2026,INV-759868,"$752,004,849",batch-20220102-20
37C7NXXBA,"$1,275,926",72.8348,482,DIIR,JPY,0x104fb1ec8a1fe33952c2b92bdc5bf5ea332ac7b3,SVANRY632IIPS8QDB9BG,Q4 2026,INV-226660,"$820,966,223",batch-20230903-21
3HBAEOM43,"$4,645,118",33.7281,487,CWRV,CHF,0xec8463742ffff22b019428ab2dfa2b502ef5506d,WZ5I4EBO2J3AYIUKEUF5,Q1 2021,INV-912403,"$413,884,436",batch-20191216-52
XSKOUZXNL,"$2,323,376",118.7177,346,IOU,EUR,0x56b19e560e1b93585270246209a1b14f9c6f68a6,USHFRRCV1EXYB8Z8TRTM,Q2 2025,INV-818209,"$613,921,488",batch-20251031-89
LED1LG8Y2,"$2,810,102",27.6625,427,BD,EUR,0x505c44ac4002f748c74774f63e6f450353396462,QC5UMUNLBNQANDTQYPIC,Q3 2024,INV-404066,"$983,824,827",batch-20231119-80
441WMKXI9,"$2,196,510",131.2615,599,FSUU,CAD,0x96e9c3bd473ee48aa8205697efa8c8d4310e92b1,RBL6SGW2NRV4EIBKPK7F,Q2 2024,INV-157260,"$883,747,122",batch-20180423-19
65D2H5LOM,"$4,991,429",59.0451,638,IRMA,CHF,0xf1931b83b631e803e36eb03444314ab6baac808e,8LZF4NUB5XX9PKQGBHLF,Q3 2020,INV-271305,"$174,032,251",batch-20240409-79
7PMQM57FH,"$4,365,709",149.1054,539,DD,CHF,0x91300367b1ec5d76c95d3b2a31eeb84733bf2241,8U091DZ8XEBNP5O3XT08,Q4 2025,INV-766959,"$742,038,227",batch-20230722-42
3OW37GJNX,"$1,908,485",80.755,751,UM,GBP,0x5d129c9b6c448bf7a7c122108f0bf8cb0ef1dd7b,27VMVWJMV06DDG680IUG,Q1 2022,INV-998792,"$310,692,043",batch-20190905-19
EGYYJ5N86,"$13,647",104.0072,500,ZH,CNY,0xed4d79e07c05aca1c5c74b26a2eb647752e90168,FVAN0FVEL57OBVLXUIIY,Q2 2025,INV-528453,"$185,170,646",batch-20241224-93
K1GPCXWAY,"$2,850,127",15.0159,509,CRTB,CAD,0x9d3d1a22f21b8e1526676e198486fcda0698e783,LL0NO8OL0V0HXEF73GGA,Q1 2020,INV-398133,"$175,222,081",batch-20241110-33
T2E077U55,"$756,374",70.9234,757,VK,BRL,0x9998a83b0366bbb0532583150c4ee805bed9a990,OZFQPII49H5VN28HR6CM,Q1 2025,INV-668675,"$980,480,996",batch-20260531-99
OODPK1ACF,"$4,244,305",118.7697,505,SD,INR,0xdb3e79d85fbb6e710cbd2ae8dd3129f1eb59983b,MR0AZ0ZNZ3T1WM3EQLSU,Q2 2022,INV-441993,"$240,098,152",batch-20241003-35
YWAPKE5AJ,"$3,987,094",21.8365,721,PZB,CNY,0x9600c7a78ad44f398463d8a3b88f490409a860f1,5BO8BOT6ATJ4MDHUTT52,Q3 2023,INV-419942,"$716,025,186",batch-20240125-71
IVR40DM9I,"$1,254,067",138.8554,757,XBF,AUD,0xbc69d9a0f548c378df6987b0176a01c6e13e4f29,BRX8U73NKBF2E6WPRLPG,Q2 2020,INV-738570,"$8,598,023",batch-20210920-31
HWXPBRRNT,"$2,733,004",56.1686,528,LEWV,INR,0x30df4b32de0b6afe1b7eaa72c88355a8294a5b56,9LNDCMB4BLDQLQ1WMFPT,Q3 2020,INV-973743,"$847,787,725",batch-20230305-16
MK3UHK6HM,"$4,097,412",76.8265,331,FN,CHF,0x1cb3aef60782e1c770d6512745aeb7c8191674d7,0PNF3VCLHOVU5WP8MVU2,Q1 2020,INV-150566,"$571,616,246",batch-20240905-71
MIA63YMDD,"$4,987,616",61.735,834,XEH,CAD,0xb889fd9752e5c7a9c281921b78aaa12839de7ec8,6JLDJ7P1F99DGHBTMPT1,Q2 2024,INV-615568,"$895,914,380",batch-20240116-11
J6U5A2X54,"$4,806,486",94.7261,470,LP,AUD,0x58663d5aab80bf0d526b19c13d2972d5369b5818,EKCEHQO672TH1FPHMZOI,Q3 2021,INV-937266,"$664,404,695",batch-20180905-91
AML518DWK,"$2,067,200",13.3493,642,VGM,GBP,0x5c163f9ade72029fa65321c4da1e9bf5e5da4d05,EGUARHJRHE45JJJE1ILH,Q1 2024,INV-531763,"$617,644,034",batch-20261210-06
POZ4XV87U,"$1,453,346",76.0956,584,NTWT,AUD,0x1bdc8e277e0fcffccddcc043881787bf336c7d1b,VWE8G358GEEJGBJXG56W,Q3 2023,INV-584258,"$143,928,265",batch-20180130-35
1CCYY4JUF,"$3,115,114",149.6757,545,QBMQ,EUR,0xfe24f0b8264e625fdc20dba2189048160087a0ec,BM2O2ZCMOTBMRLCRE8UA,Q4 2021,INV-745226,"$495,609,445",batch-20190102-25
1BQFDTNBS,"$634,931",98.4354,807,EA,CAD,0x5ecbcf12cf70430fdc4ce22a0539c2beb94dc729,HGXMD7QCQ3ZA8E83MTEB,Q1 2020,INV-702902,"$716,731,231",batch-20190329-41
8T7D2TO1K,"$4,496,124",132.792,561,OUX,INR,0xa27fe8470b7aff104d2606bcecf39b2353884f02,I8OJGZACF0R7FA6AHHCA,Q4 2021,INV-931813,"$313,300,621",batch-20260505-92
9QVWAS1UD,"$2,115,957",18.3071,302,PW,EUR,0x6cad27eb98cbb968b4fffd87430edf8a311df11e,LXTNJS18L9GJ4ANLIOBL,Q3 2022,INV-710276,"$956,343,080",batch-20251123-35
5PFBCE5Z3,"$4,523,087",136.5824,819,XQ,INR,0x7e40f605e7be7c5f62e57019f82b11612a594d6e,CVHJOBEIFDD56H6U9WCD,Q1 2025,INV-377339,"$571,708,179",batch-20260108-48
A0PL8109J,"$3,204,069",108.9482,612,EDLZ,CAD,0x6f1135bcff4d45f1f8251ada27066ceecfd41eee,OTS42KQCFCHAO73KU99E,Q3 2026,INV-385081,"$871,650,901",batch-20200508-40
B051T8FMW,"$2,121,454",90.8879,664,JO,GBP,0x06bca11a9c8123d64594d821896064c51101d53b,C0IBZBW8P3IFZXSBCF9H,Q4 2024,INV-968296,"$635,998,551",batch-20241226-78
6BDJ7H7RE,"$898,059",112.6568,808,CVTO,USD,0xc1a6ecfa9c081adad55013738b0e8ad8027cb7f1,AYDW9F6Y5V9JREHMIQP5,Q1 2021,INV-937045,"$308,044,831",batch-20240219-02
YZNM5SAXY,"$2,460,206",29.5261,438,WZ,GBP,0xf19c6a6576767a1919febff10164217030fd84c4,H0ETHETKCAKDP3CA4BD6,Q4 2023,INV-854655,"$391,724,145",batch-20260725-92
TNKZIY75I,"$4,614,320",14.0619,303,ADT,CNY,0x6c28ccd1785cd2cee513598546f0a92b044cd54c,QBCDQCSENJXTXIXCDL9T,Q2 2023,INV-410909,"$882,004,910",batch-20181026-39
SLQGBUL1O,"$4,430,833",60.7226,451,ENH,USD,0x7627ea2fdbf38e7b52e6870ebc8ef9305530caf9,FHPD6VQ81LY0OCRVQZMF,Q1 2024,INV-838683,"$926,368,771",batch-20180424-31
3SFGHO4QH,"$501,265",106.0719,479,DCTV,AUD,0xa79f12c2e54d68021693d2026f981f4a4d08d7ec,73C7Q25Y7KHG4G7NIE3F,Q3 2026,INV-565149,"$465,278,496",batch-20200916-72
AIU01LC5W,"$4,615,084",49.095,524,PDSZ,CNY,0x2d29d3a4cd0db7ad72a5379a570d6d6756d28ae9,4GBGCN3K3WKT6VGF8IG8,Q2 2022,INV-170501,"$43,841,026",batch-20190923-48
62M9E5IML,"$281,097",34.2924,714,NOOS,JPY,0x9c3e43e92c09bf32f44297595d9202f61794102c,JDHQW2VGQZDN0EP8RF4W,Q4 2022,INV-501704,"$110,572,590",batch-20190805-90
AWE3IAVX5,"$2,254,009",47.6531,440,BEC,AUD,0xbd554b2913d87e727f5bd218b4c5ec9bf4876ad3,HIGVUMMWCMZX8J5MS20T,Q2 2026,INV-436214,"$751,150,984",batch-20221126-91
2E2ASOEVG,"$2,560,729",138.6347,626,JUKO,GBP,0x25c85ce6cf783cea1fc34499c9a6d7264d5df531,4XAIC0DHNHWEKQDVNAB8,Q2 2023,INV-609454,"$707,777,294",batch-20180602-42
OO703B95O,"$1,832,976",106.4524,662,AI,CNY,0x241dada3d360e94162315e4e327e876e0d344904,PCLMSP94RWGKG5KHL1CR,Q2 2022,INV-462126,"$460,091,687",batch-20261004-43
2SNJU9F51,"$3,102,462",111.9309,687,KO,CAD,0xb28b4af0585e7f264590c938464dab47f8476687,X45JOQYNIT38CX5DNSVB,Q1 2021,INV-574807,"$510,533,183",batch-20251020-22
UD1LBQ4UA,"$1,982,287",54.8195,738,IA,JPY,0x7e930773d7ce82b6e794108885859d6c93a289dc,9A42W44WUFEQJ4PZC5YP,Q4 2023,INV-315936,"$200,695,397",batch-20180908-98
C1U86AG3U,"$4,270,551",125.9762,382,ZVYM,INR,0x2bfcc31be8d44640b9aaf1cf4f904c960629d704,VF9I60K23Z2Y3C0EQ4AW,Q3 2025,INV-332567,"$727,883,103",batch-20190412-44
5S517DXJ1,"$1,191,484",135.2372,823,IF,CNY,0xc1092a0e3888ef1222f8acdd5fa028959a741869,EV64GROABEAWQW29PY5K,Q2 2022,INV-942078,"$638,828,331",batch-20220412-81
XXMS3RAG0,"$2,477,611",121.6707,446,EWF,BRL,0x01ef732e96db36c0e462cb05b681875fafdd4e82,MZQRSJZO98IBOQ18OVEU,Q4 2026,INV-798956,"$971,921,678",batch-20191215-18
08GSG8UEN,"$3,340,967",11.3644,764,PEXJ,BRL,0xefa2e9f83cbd68b72e64380fced1383c1f60e40f,Z7FW0C20X450UHEH3RFW,Q4 2021,INV-134783,"$635,150,348",batch-20241115-70
PLYK0YZKA,"$1,270,462",8.8139,487,IG,BRL,0xef6f1f892ffd8fdad62075a096e657cabf4d4c44,ZL8XRW4DBRHGR8CP11GB,Q3 2026,INV-752228,"$799,190,310",batch-20240719-77
0VSGQG034,"$2,605,737",41.6217,759,OAH,CHF,0x0b8dc51f0d61c170e8c573ad9153491c8581b1e7,J2ONVEOX3AKV62ZLLT99,Q2 2024,INV-926762,"$764,435,895",batch-20240215-20
G2AHN110B,"$4,310,576",56.0761,708,YQSA,CNY,0x8062b1e469db563e9740eecd78f8f02fb998bbe4,IDY63NDTTUM2IXEXB92Y,Q2 2021,INV-118968,"$336,760,421",batch-20200714-77
6YR8NKRZ2,"$4,462,251",101.995,440,XCTH,EUR,0xd9b96ccf263b9e5f26b427873665d606600be1a4,ATE4VV9C0XFEVMY1QNQV,Q2 2026,INV-217559,"$616,941,166",batch-20250413-24
8BWTB5Q78,"$2,477,952",99.4071,563,ZPD,AUD,0x489be318a186a84d45f22c5190b63c1628007ace,OEM9NNC8YCI08P3LBSUN,Q2 2022,INV-416902,"$80,687,885",batch-20200506-32
VLUCNJ0HY,"$2,684,297",104.3123,778,BSDY,EUR,0xcea86b4b96613eb7a86f57cffbdc14dc120573d2,ZZHYH9OJGUEIFO28N4XJ,Q4 2023,INV-348257,"$667,913,146",batch-20251214-21
ITMFEYADY,"$2,115",10.2562,493,TE,CAD,0x434a98e0a551db26e76b93f10dcf32c6ace773f6,0ZBO70B2AUBNBWGSKWD3,Q4 2026,INV-842454,"$319,550,186",batch-20260301-07
ERAXP2NGQ,"$1,156,279",56.0019,302,VAB,CHF,0x38facfecfb475791efb97984fc4e80bed04ba26d,KE09JNEFTZ53C5DWUMJA,Q1 2021,INV-818333,"$483,745,554",batch-20221125-95
Z7F638ZKR,"$1,449,083",124.0933,465,KLN,CNY,0x1882f388758d1861bb4a67f9ff6c5674c6e8fdd7,H2BTUFDOAPMLQS8LXSOL,Q3 2023,INV-469166,"$107,341,147",batch-20191207-33
QJANQS334,"$2,443,512",102.6524,665,KJ,AUD,0x1244189e0cd3686835701033e4e23a00bb8b3fc4,CJUVPCVV5765EJ9TDNVS,Q3 2022,INV-144289,"$498,357,752",batch-20200418-46
1NYKS9URX,"$1,869,747",86.1691,319,PQO,GBP,0xa6294ac031e9c54d03401ba7879f14864e8208bd,LX5Z3JUFXH8P0MTZ1FPR,Q2 2020,INV-990562,"$476,253,570",batch-20200228-90
AO4H86DD3,"$758,726",70.5765,812,HD,CHF,0xdd968dee372a19f0227d0bcf54c8a0e47754a775,VC35TY40QCULVUKSVZOO,Q2 2024,INV-376377,"$591,188,471",batch-20230928-57
OS58YOFVY,"$1,514,361",17.6202,328,WTOU,EUR,0x29c86ac82ca7e6cf01727286934bada970b0779d,259GMQ2P014X5DLWY1P6,Q3 2021,INV-774976,"$100,617,430",batch-20231120-62
WY0SZKBNS,"$1,756,203",16.1483,378,BXY,EUR,0xcefcd3875cdc9b97d98d2a4c46467c0c3cb6406f,WR1SHEURQ7VZFPDOU0ZE,Q1 2022,INV-686374,"$395,547,040",batch-20251128-85
KF3IKN9NT,"$2,134,134",80.8629,743,AMF,CAD,0xcdb6b5a541a4ee1100228191d4f3cda6eb48bc4b,E34TKWIH73P4M7B0VZGU,Q2 2023,INV-495430,"$485,882,154",batch-20230226-16
VNOPCFLOI,"$1,459,746",121.7905,332,UV,GBP,0xaf490e376365b1d95a464023d1465e2cd167239c,M6NWMUFGYN53KBH423L9,Q3 2022,INV-166632,"$782,436,194",batch-20260205-27
32JKY5OFT,"$4,496,821",34.6897,300,MGG,CAD,0xe4bb579351b987d32b4947a6808501b73495f468,GD2RTTDWOSPE14OT4FPU,Q2 2021,INV-947915,"$774,789,719",batch-20181023-48
7G0ABGB8P,"$2,813,202",146.5326,643,AIVE,EUR,0x1c06054b90f6e3b2220f3f2a06a1a901c4431322,N92F0J3OKEKSK2VPAJSP,Q3 2021,INV-881632,"$58,628,342",batch-20260308-75
8I1WR63JU,"$3,025,287",27.0134,783,JV,EUR,0x526f55d4c62cd89644c53db2ecfe6ba58bb6ce9e,0FH61N7FDRFQX780TIJ7,Q3 2023,INV-675174,"$352,849,546",batch-20230811-96
PYA2OTKQX,"$4,584,359",118.2055,379,CWR,INR,0x16cab137320bccf49dfe0e643214c94c65429d2d,K1H3VQ0V3WKH3J4CYGO6,Q3 2024,INV-582517,"$95,052,259",batch-20241216-53
QYO6ILVB8,"$902,239",25.8863,328,KS,BRL,0x9b0c33f3e67cf4c4d8b101690fe16f9ba10daee0,T3PPE690CWBKE4HS0LT5,Q1 2021,INV-434759,"$212,144,441",batch-20181102-55
CR9D47D7N,"$670,725",48.9269,792,WW,CNY,0x1ec1aedf47d2e8a41d7a5ee1e36d56d318f0a4fa,N29GXEKBZCMLOX8GCT3M,Q3 2021,INV-894464,"$704,461,803",batch-20230729-95
LCFNR37QT,"$2,315,561",78.3292,667,KHO,BRL,0x3059ab65a65c42f7b762a6060004fe13f6afd4c8,2DA89OTCJ81RTAOGZE5X,Q2 2021,INV-249763,"$593,035,478",batch-20190830-24
GFAJLFG9V,"$2,493,760",5.2765,579,BT,CAD,0x7c3e113adf55c72c82dc61baf80c80e01e14df31,L12S67JQOQ0WTGXY7IN1,Q4 2024,INV-773684,"$762,852,355",batch-20180413-87
