iata_code,material_name,attr_987,power,platenum,measspd,azimuth,vehicle_identification_number,flightNumber
XWX,Polyethylene,17060.0,16517.2,SRB-8956,261.3,341.56,2BL91R4L1D7KADC5R,UX2349
RBI,Carbon Fiber,19751.2,38026.5,YRE-5032,128.0,240.99,7RNJDWG2LKC2MWEW3,IU5642
GLF,Polyethylene,97112.1,46873.7,GAZ-2948,291.3,343.58,7FGESC34AET38F16E,HY5286
FAY,Titanium,5668.1,17757.8,TVH-1367,43.8,159.42,ZQW7ESJ7A8FTEGAVJ,BN4916
DZM,Glass,40632.2,19591.9,DGF-4431,291.2,72.86,M3DGQC5YALD710Q6F,BD6993
PYH,Titanium,8723.6,43878.8,KOQ-9250,56.0,170.12,X4049RRJW2JY564CL,TF6945
ECZ,Carbon Fiber,80885.3,5232.0,SKG-2693,237.8,358.61,ETQM4Q9XLGD2KZC3X,GX5644
TAZ,Steel,33045.4,36456.7,JZJ-8027,36.0,93.95,F7IETCPS99ILIJGE6,EO8868
MPX,Aluminum,16409.6,28401.8,OPK-4980,260.6,215.19,RTW8IJFS14VYWNPVZ,MJ4739
VPO,Glass,31967.1,18650.4,RVD-4912,129.4,4.97,3U5IKZN44UJNE9LRF,NI6545
IHH,Polyethylene,90732.3,45425.2,OMP-1066,220.5,333.04,5KOC463NFZOD7EKE5,AE6569
GAS,Polyethylene,98583.6,30988.7,CTL-1227,119.5,202.54,L9VZAFZ4JBVL2DRGH,PP7566
AZP,Polyethylene,19485.5,20385.1,YEM-4507,121.7,287.3,VFS30MEQ5TQ7GJPVR,SV8156
TDH,Steel,94151.5,4517.4,VVW-7807,157.7,255.98,5LUG0H7LVXLW7LHQ2,QR4533
OBP,Carbon Fiber,70424.8,38116.5,SCA-1111,165.7,264.08,73GUA62QHGENYPV1Y,SN8782
FMA,Polyethylene,26782.3,36915.8,SUE-6394,248.0,224.0,RRDU2PLCFOJD27ID7,NB4516
XMO,Carbon Fiber,36251.3,34326.5,CWQ-3725,227.5,107.1,4F2Q8EWK8NR3TQJKC,KA3226
YVM,Carbon Fiber,64206.9,24844.7,GEZ-1172,107.4,10.92,B12JHMPA5M21JYGHP,KT9806
GUL,Polyethylene,67647.0,28969.9,REC-6407,39.0,252.88,M5C2W7S3TZUEJ2037,PC3106
JHD,Titanium,20405.9,1676.0,FIS-5674,249.5,211.32,0JBUKXPOZRYLYD8UE,TW858
LJS,Titanium,12374.5,947.7,NWR-9330,143.6,115.25,REJ84UGNZRQ5TECI8,LG1251
FXQ,Polyethylene,98765.0,1892.9,BCI-5899,277.7,187.89,YRWBHOBQQOJ8CGNM3,EA4550
ZVS,Titanium,7997.5,36469.7,BND-4563,168.9,194.09,KR48CH7C8MDRXB8XF,ZA8296
SKV,Polyethylene,9808.8,7422.6,TXD-3272,99.1,347.27,4VXIC5JXJ9W48U15C,KO8093
ZAT,Steel,80812.5,18170.2,KKI-4263,183.0,276.82,T4DEKOX8UQTTWR2RA,OG2827
YEN,Steel,63523.6,48359.2,DWJ-3460,58.8,246.93,S5QZDI5FQDQDMOD9Z,FA6573
AMX,Carbon Fiber,57822.6,48110.3,LVL-9673,215.6,279.75,NW76X8PH0EHDVGVHG,FH8164
UNV,Steel,4939.7,1510.6,TLJ-7152,197.5,75.65,TLSX2BW54V1JYW9M5,MD6799
QFJ,Aluminum,68490.5,37482.8,LDY-8816,7.3,280.37,8LXTJMTH81AV1X1WG,AX7675
EKD,Aluminum,50531.0,17413.1,YJU-3400,269.0,249.81,F36NYSCZQWYNVVRM1,NK4970
