electricCurrent,schedulePlan,measlum,pressure,fhlx65,measph,col_cron,flow_rate,voltage,partkey,temperature,threshold_limit,var_dec
34.39,Monthly on 1st,91898.6,1228.7,74.5,13.86,4 16 * * 1-5,70.51,128.8,region=us-east,1.9,max=6289,26.3
68.79,Every 15 minutes,52361.1,1187.8,40.2,9.11,"57 14 * * 0,6",751.0,422.6,dt=2024-01,6.7,max=9274,21.4
23.05,Weekly on Monday,77285.4,1881.5,68.4,0.51,"8 13 * * 0,6",713.48,21.8,tenant=2024-01,-10.0,crit=4622,82.4
21.23,Weekly on Monday,6077.3,1854.4,77.3,11.12,49 17 * * 1-5,159.15,0.7,tenant=us-east,16.6,min=8253,64.4
92.61,Weekly on Monday,43347.9,631.7,75.0,5.73,35 16 * * *,311.88,164.4,tenant=2024-01,27.9,min=5025,106.1
98.5,Every 15 minutes,74285.0,405.6,20.4,11.24,25 21 * * 1-5,839.41,249.8,tenant=acme,-13.1,warn=9209,74.2
6.01,Every 15 minutes,2389.7,593.3,79.6,3.27,39 18 * * *,571.72,61.3,region=us-east,49.0,crit=4214,91.6
71.15,Every 15 minutes,56360.1,866.4,80.6,0.18,"20 4 * * 0,6",885.43,214.7,dt=2024-01,11.7,crit=2586,128.6
42.67,Weekly on Monday,15219.0,1983.5,62.8,11.0,55 4 * * 1-5,405.5,121.2,dt=us-east,-2.7,min=9987,123.8
72.32,Daily at 2am,42384.2,1847.0,26.0,12.84,"56 20 * * 0,6",420.55,237.8,dt=us-east,47.4,crit=771,8.7
5.11,Weekly on Monday,97164.8,1758.6,48.4,13.6,"14 16 * * 0,6",952.13,62.0,region=acme,0.8,warn=3373,59.7
97.54,Monthly on 1st,64703.3,143.5,67.6,12.26,"35 11 * * 0,6",642.49,296.5,tenant=2024-01,24.6,crit=8954,10.5
56.02,Weekly on Monday,91603.6,1009.8,8.8,7.7,"50 3 * * 0,6",630.57,206.1,dt=acme,-21.5,warn=935,65.4
46.29,Weekly on Monday,47682.1,689.4,40.2,11.61,11 3 * * *,952.88,397.7,region=us-east,23.6,max=9360,98.1
4.46,Weekly on Monday,89574.7,1031.8,80.4,0.54,3 6 * * 1-5,921.44,426.6,region=2024-01,43.4,warn=6931,110.1
58.91,Daily at 2am,14173.0,1721.1,63.3,2.43,30 16 * * *,446.13,311.5,dt=2024-01,-30.0,warn=7729,0.5
9.28,Every 15 minutes,39377.1,36.0,37.0,5.7,45 22 * * *,998.18,61.8,region=acme,-25.4,min=6353,17.4
98.54,Every 15 minutes,28910.4,1737.2,25.1,7.13,31 13 * * *,31.13,338.3,tenant=us-east,50.0,max=1329,71.6
20.21,Monthly on 1st,68759.4,1086.5,19.2,8.26,12 23 * * 1-5,926.16,89.6,region=2024-01,4.8,warn=7318,68.2
52.33,Every 15 minutes,29701.5,1371.1,89.4,8.51,31 17 * * *,723.78,102.4,dt=us-east,-26.6,min=9071,67.4
64.31,Every 15 minutes,61877.3,1407.2,84.3,4.47,"5 6 * * 0,6",472.27,178.8,region=us-east,32.5,max=5497,89.6
48.63,Weekly on Monday,19216.0,589.9,11.3,2.82,53 19 * * *,812.45,16.4,dt=acme,17.7,max=4546,87.7
1.26,Monthly on 1st,86495.5,943.9,55.1,7.2,26 15 * * 1-5,739.64,330.5,dt=2024-01,-15.2,warn=4978,44.4
60.66,Every 15 minutes,49623.8,739.5,46.6,6.37,"10 12 * * 0,6",575.49,165.7,region=2024-01,-17.0,warn=9330,123.4
72.36,Daily at 2am,16342.6,318.0,90.8,4.4,"4 9 * * 0,6",887.63,430.4,region=acme,-25.4,max=986,75.4
77.65,Weekly on Monday,71848.6,1021.9,23.6,4.37,59 1 * * *,601.5,437.4,tenant=acme,-8.1,crit=362,122.1
66.35,Daily at 2am,7660.7,1980.1,49.4,7.76,"25 15 * * 0,6",810.35,205.7,dt=us-east,-5.8,min=4308,51.7
0.63,Every 15 minutes,11168.1,1815.7,29.5,4.2,31 19 * * 1-5,986.55,157.2,tenant=acme,-10.5,max=5464,76.1
60.51,Monthly on 1st,76135.1,485.1,33.0,8.87,10 14 * * *,891.01,36.2,tenant=us-east,-36.4,max=7954,104.8
97.33,Weekly on Monday,24463.3,298.6,88.6,6.46,47 8 * * *,557.99,267.7,region=us-east,12.0,warn=3477,9.7
68.05,Daily at 2am,36253.9,1717.0,32.2,13.82,4 13 * * 1-5,214.56,117.1,tenant=acme,7.6,min=6321,109.8
83.5,Daily at 2am,4053.2,910.2,84.8,11.9,35 17 * * 1-5,551.44,65.9,tenant=acme,39.9,crit=5777,63.6
9.6,Monthly on 1st,82297.5,1267.8,68.6,0.73,"28 10 * * 0,6",924.67,398.4,tenant=us-east,34.4,max=6219,41.2
55.42,Daily at 2am,74328.0,393.1,0.7,10.25,39 6 * * *,164.1,195.7,region=2024-01,-38.1,crit=7998,22.4
97.27,Every 15 minutes,41674.0,169.8,62.7,9.99,46 0 * * *,857.25,336.7,tenant=2024-01,13.7,min=8372,89.3
17.66,Weekly on Monday,75758.5,1744.2,73.7,11.67,49 17 * * *,230.91,166.3,tenant=2024-01,-24.7,crit=5168,83.5
52.62,Monthly on 1st,46274.0,1163.1,64.5,2.58,29 16 * * *,424.22,470.0,tenant=2024-01,-28.5,max=5332,89.8
14.85,Weekly on Monday,13839.1,97.3,6.8,1.24,40 3 * * *,917.84,117.3,dt=us-east,-20.9,max=1253,81.9
16.65,Every 15 minutes,26391.3,397.6,77.5,9.55,52 13 * * 1-5,944.22,455.9,dt=2024-01,-33.0,crit=4469,43.2
90.79,Daily at 2am,72541.4,1407.8,3.4,12.86,"5 2 * * 0,6",628.64,221.5,region=acme,-37.5,warn=2022,10.8
69.37,Weekly on Monday,2325.0,1400.3,10.7,11.57,46 10 * * *,839.16,54.5,dt=acme,1.0,warn=983,128.5
18.17,Monthly on 1st,80208.5,390.2,5.5,6.79,35 0 * * 1-5,616.47,45.5,tenant=2024-01,4.4,max=9836,12.1
27.59,Daily at 2am,30299.1,511.6,70.4,7.02,7 15 * * 1-5,751.85,30.8,tenant=us-east,10.0,warn=8839,94.0
33.93,Daily at 2am,81654.6,935.1,87.6,13.45,47 5 * * 1-5,923.64,227.0,tenant=acme,-35.0,min=3762,88.8
94.13,Weekly on Monday,47647.4,27.0,77.4,11.39,54 2 * * 1-5,550.65,170.9,region=2024-01,42.7,crit=4426,109.7
98.56,Weekly on Monday,52745.2,661.2,55.3,1.4,23 11 * * 1-5,475.16,226.0,dt=us-east,35.9,warn=7740,55.4
89.7,Every 15 minutes,98642.4,923.8,5.8,11.36,24 3 * * *,285.06,373.5,dt=2024-01,-38.1,min=5717,30.4
39.05,Every 15 minutes,85936.6,131.0,62.3,13.42,34 0 * * *,721.15,446.9,tenant=acme,-5.4,max=7027,78.6
6.21,Weekly on Monday,24537.3,1428.3,32.7,0.85,"28 9 * * 0,6",99.46,143.6,region=2024-01,28.6,warn=4600,53.4
60.22,Monthly on 1st,39885.6,828.1,21.7,12.51,"6 18 * * 0,6",522.31,343.0,dt=acme,39.2,min=3091,36.3
70.06,Weekly on Monday,94929.8,637.7,33.7,2.52,47 19 * * *,462.15,226.1,tenant=us-east,-32.0,warn=8740,80.3
96.39,Monthly on 1st,11737.8,1619.1,2.3,1.13,6 3 * * *,822.01,473.7,tenant=acme,4.3,crit=1106,104.1
54.1,Monthly on 1st,66593.8,1049.0,84.7,2.32,54 7 * * *,574.26,442.9,region=us-east,-27.3,warn=9081,38.8
81.57,Daily at 2am,60610.5,10.7,41.5,2.62,"21 0 * * 0,6",997.12,130.5,tenant=us-east,20.0,max=5477,114.9
86.55,Monthly on 1st,51690.0,52.6,80.4,2.56,23 23 * * 1-5,734.13,413.6,tenant=acme,1.0,crit=9154,34.2
44.19,Daily at 2am,26308.8,230.1,2.7,14.0,52 3 * * 1-5,967.95,372.7,dt=us-east,0.3,min=3127,122.9
57.01,Monthly on 1st,76123.2,64.3,84.6,4.6,14 6 * * *,115.89,283.6,region=2024-01,36.3,crit=4624,58.3
25.84,Weekly on Monday,74085.4,635.0,17.1,1.15,"49 14 * * 0,6",293.75,129.9,region=2024-01,37.0,crit=5869,6.7
82.09,Daily at 2am,32347.2,1473.5,90.8,0.15,"16 17 * * 0,6",221.6,245.1,region=acme,-27.0,max=1342,18.6
14.45,Daily at 2am,91033.8,1614.2,40.5,11.99,"3 15 * * 0,6",922.67,373.3,tenant=us-east,11.5,crit=5129,88.3
10.4,Monthly on 1st,88511.7,1570.5,44.9,5.14,51 0 * * 1-5,849.5,223.8,region=us-east,44.4,crit=9549,33.9
