phoneCountryCode,genid,col_261,mppzs51,index,country_pattern,d_troy,abbreviationAcronym,integer,isoLanguageCode
+91,8d666ae0-69f6-4c05-9758-6359f0bca96a,outlook.com,1,728,+1-XXX-XXX-XXXX,0000254782,XM,2049,zh
+1,6b02c5c5-48ac-44e9-ac15-1b2df10942ba,company.com,1,690,+44-XXXX-XXXXXX,0002281610,MSB,3974,es
+61,b09ea0eb-0a05-4026-a312-d550bddee4a9,yahoo.com,1,319,+44-XXXX-XXXXXX,0002997431,IQROX,819,de
+33,6eb95f15-6af1-469e-9382-c3db86c32643,outlook.com,0,319,+81-XX-XXXX-XXXX,0002785295,UNLR,306,es
+81,07878f0f-dc3d-41d7-8469-07941c2d989e,company.com,1,995,+81-XX-XXXX-XXXX,0004441877,UR,6256,en
+81,4fa6e4e0-c875-4ad0-a4b7-6a31395ddb01,acme.org,1,554,+81-XX-XXXX-XXXX,0005127511,YZPG,5684,hi
+91,2846826e-fefa-4df2-9a3e-7b56acbc2858,outlook.com,1,211,+44-XXXX-XXXXXX,0008331793,LH,4660,hi
+44,dfa80cd6-1841-4ad1-bebc-4bb0d64b72ce,gmail.com,1,835,+81-XX-XXXX-XXXX,0001586436,TXPBJ,148,pt
+61,5fab5bf6-6f49-40bd-8479-ba6fbdf68e64,example.com,1,942,+44-XXXX-XXXXXX,0007461248,LNQSK,7413,de
+91,33e18294-4895-4871-a007-51cef385a4da,example.com,1,172,+81-XX-XXXX-XXXX,0006567930,COWT,9339,zh
+86,1eab7213-e007-4110-a62f-ae0c22d51a05,acme.org,1,598,+44-XXXX-XXXXXX,0003561152,UTALT,5845,es
+49,a7b26561-cb56-44be-be8d-ee553536de72,outlook.com,0,812,+81-XX-XXXX-XXXX,0006614462,CRNE,4397,ko
+1,f0f34a8b-ecac-4d0b-ae8c-24f8bb008068,company.com,1,100,+44-XXXX-XXXXXX,0000842848,DNPUM,47,ja
+33,968a7311-f9e8-4fb1-90ed-2dd9c76fc155,gmail.com,1,881,+81-XX-XXXX-XXXX,0005724081,HH,6420,es
+61,fa2a906d-66b7-4df7-bb8e-e227cf989001,example.com,1,854,+44-XXXX-XXXXXX,0005077075,QJB,5599,hi
+91,385b7ec5-a052-4730-a483-03bdf23654f4,outlook.com,0,823,+44-XXXX-XXXXXX,0008310545,BC,5689,es
+81,1e4fd4c1-7ba5-4bbc-9deb-edda6287a7b9,outlook.com,0,552,+44-XXXX-XXXXXX,0004402286,OQXQ,5331,zh
+61,95d19bbf-c014-4d47-8919-3318484863cc,example.com,0,327,+1-XXX-XXX-XXXX,0003522995,TIUIG,8668,ja
+86,415662f2-f4d7-4b08-9fa7-c422d51a397e,example.com,0,163,+1-XXX-XXX-XXXX,0009194526,UDUXG,8854,ko
+61,9530f5bf-004a-4725-82de-e823a2f24145,gmail.com,0,141,+44-XXXX-XXXXXX,0004518172,JVXKC,6177,hi
+91,68e09833-0987-4f62-bd9e-2101c73ae4ea,gmail.com,0,63,+44-XXXX-XXXXXX,0002745192,WJNA,8996,fr
+49,7b9bcbb4-c11b-4934-b913-35e039660f76,example.com,0,343,+44-XXXX-XXXXXX,0007348069,ND,5297,ar
+33,f0ee99b8-3ada-43cd-9dfc-dd471167b624,outlook.com,0,385,+44-XXXX-XXXXXX,0004568556,HUL,476,es
+33,4872b1c6-1347-46f9-81a4-9235bbab82ac,company.com,1,196,+81-XX-XXXX-XXXX,0004751216,UPEZA,3380,pt
+1,dcd8d532-5ca7-4ef0-becf-f3d42138c192,acme.org,1,31,+1-XXX-XXX-XXXX,0007249274,USJBW,7905,ja
+44,a6404037-4589-4201-9d53-473158566cdf,example.com,1,151,+44-XXXX-XXXXXX,0007478736,WKUUU,8050,en
+33,c90b2b4a-657c-411b-9c81-c83978200a3d,yahoo.com,1,575,+81-XX-XXXX-XXXX,0005048590,OD,3678,ar
+1,0a1787ca-89ee-4ce1-94e3-648eb975de87,yahoo.com,1,879,+81-XX-XXXX-XXXX,0002211724,GY,8233,ja
+44,28427f05-a914-423e-86c3-4313ae21ce2a,example.com,0,472,+44-XXXX-XXXXXX,0008738674,YH,3592,en
+81,745c8458-bd75-4141-bb19-9884dc666e6c,acme.org,1,241,+81-XX-XXXX-XXXX,0005128710,ZC,7951,de
+61,6e0277ad-2753-4152-8501-8d2296746960,outlook.com,0,708,+44-XXXX-XXXXXX,0007549585,IRCHV,4032,pt
+33,9bc6cfa3-3087-4ec1-987d-fcefc302d761,yahoo.com,1,962,+44-XXXX-XXXXXX,0005573026,AJZX,249,zh
+91,dfd682bf-0de6-4b35-8139-b468f72442f4,company.com,1,799,+81-XX-XXXX-XXXX,0009905522,OXCMB,1894,pt
+61,7ca5e34c-53ef-433f-82ba-dc81355e116b,company.com,1,261,+44-XXXX-XXXXXX,0001444946,EDGZJ,5463,es
+91,49214aca-1446-4835-8f50-d3cd2159d911,example.com,1,424,+81-XX-XXXX-XXXX,0002614815,IERBT,6613,de
+49,5b03d512-871b-423f-b7c9-cd853a11ac7b,gmail.com,0,259,+1-XXX-XXX-XXXX,0009466506,JFLPG,4822,ko
+91,3388b05c-13c1-4384-9d03-f98199ad7598,company.com,1,85,+81-XX-XXXX-XXXX,0008510013,SSEU,7259,en
+33,ed7662b5-e46f-463c-a0ff-faa06d812486,example.com,0,872,+81-XX-XXXX-XXXX,0009733132,SZ,5411,fr
+86,0376c803-6638-4f4a-baba-54e501ad1c70,outlook.com,0,881,+81-XX-XXXX-XXXX,0002998244,OF,631,de
+1,7d72dc88-96ab-40f9-9962-5a3deaf69c8d,gmail.com,0,294,+81-XX-XXXX-XXXX,0008493538,UBLX,4428,ko
+61,c5272240-9480-4ef5-a8de-39788187eb9e,company.com,0,821,+44-XXXX-XXXXXX,0007299481,VLJ,1013,ko
+91,43dc2df9-0d7f-49b8-ad4b-bd41697eb00a,yahoo.com,1,871,+81-XX-XXXX-XXXX,0003512829,OD,2292,ko
+33,0247f90f-4216-491e-9900-a8beab760197,company.com,0,928,+81-XX-XXXX-XXXX,0004603992,UDT,7767,zh
+1,39d1ecdc-18cb-4bd3-b323-d740de4eff7d,yahoo.com,1,290,+81-XX-XXXX-XXXX,0003430019,AOJWJ,9694,zh
+91,b1cd9ea5-00be-4286-b46d-270ba459678c,yahoo.com,1,676,+1-XXX-XXX-XXXX,0005066359,VI,8689,en
+61,7ceb1052-f035-4394-a077-4e8e933e0082,gmail.com,1,242,+44-XXXX-XXXXXX,0004231067,UMY,8184,ko
+86,7b608db8-2fcc-41e5-b4db-6d575dc94ebf,outlook.com,1,976,+1-XXX-XXX-XXXX,0000927005,JHR,5999,ko
+86,22151a61-fdbf-4ffb-8e7c-54ff3f225def,gmail.com,0,379,+81-XX-XXXX-XXXX,0002381841,KVCD,952,hi
+86,f09c1c84-89b4-476d-a547-363fcb157f36,company.com,0,215,+1-XXX-XXX-XXXX,0007302820,XN,684,pt
+61,3adbe936-9bc0-4f29-8dfc-bfe8f45eea0a,acme.org,1,815,+44-XXXX-XXXXXX,0006961108,XPFLT,6225,ja
+81,fc3c3b39-faa5-4a4f-b308-66036a07fd2e,yahoo.com,1,934,+44-XXXX-XXXXXX,0006369447,SZE,8292,pt
+33,d6c5adca-0193-4cb9-aacc-edbd2aed6b2f,gmail.com,1,687,+1-XXX-XXX-XXXX,0005913319,DENDG,2413,ar
+81,db339687-1a77-4fdf-9c31-67fcc69c2104,yahoo.com,1,999,+1-XXX-XXX-XXXX,0004971526,XJS,2021,ko
+81,6b2099ea-015c-4ed1-85a6-2f373c754a6d,outlook.com,1,143,+81-XX-XXXX-XXXX,0002727391,YUZ,8374,fr
+44,5cd3bcf4-42f8-49e1-a05c-9cfd4dfe124d,acme.org,1,586,+1-XXX-XXX-XXXX,0001791610,YCXOP,1183,zh
+55,a94aae20-39e8-4d97-a53e-cd7f361f0af2,acme.org,0,220,+44-XXXX-XXXXXX,0003168879,VEB,1531,es
+33,f995ad52-f072-43b4-bed7-3c1fe92ab55e,outlook.com,0,774,+44-XXXX-XXXXXX,0009799997,NGJIO,3569,ko
+91,76b413cc-9313-40d0-acee-3c05a194ee91,acme.org,0,155,+81-XX-XXXX-XXXX,0002416127,MO,912,ko
+55,3c3d42a7-9322-4870-9a4b-6b61d49b8fcb,yahoo.com,1,600,+81-XX-XXXX-XXXX,0004064135,OUAJ,2255,pt
+61,571a5bbe-ed2e-4f3d-96d1-cdae9243af91,outlook.com,0,484,+81-XX-XXXX-XXXX,0006219276,FS,5207,de
+81,c0e2c15f-9b6f-4ebe-ae37-2c7126983e6d,acme.org,1,710,+81-XX-XXXX-XXXX,0003836469,MB,5019,pt
+91,52e2619b-37b2-4c39-8b03-bf2a9e84ae7d,gmail.com,1,756,+81-XX-XXXX-XXXX,0003962361,LBNXC,4470,en
+61,b4adbbf0-cee1-42be-8636-eea0516c0432,outlook.com,0,519,+1-XXX-XXX-XXXX,0002550301,LWDV,6972,hi
+49,38917998-8c75-4697-8134-db423ce42fd4,outlook.com,0,616,+44-XXXX-XXXXXX,0006526188,QY,2135,ar
+55,c1a9d4af-1003-4832-b087-523d02d1e8dc,company.com,1,705,+44-XXXX-XXXXXX,0005019473,TM,6066,hi
+33,8bfe12f6-dec1-4cb2-8058-b883d2c46b72,example.com,1,216,+81-XX-XXXX-XXXX,0004591415,GP,6135,fr
+1,68b0f1dc-dd78-4f53-8c14-cef65907463b,outlook.com,1,256,+1-XXX-XXX-XXXX,0004036032,ZZYJ,4993,de
+55,9cf448b5-d65d-43c0-8624-fa515daf0b67,example.com,1,746,+81-XX-XXXX-XXXX,0003234223,VGXA,28,ko
+61,e9fd254d-59c2-4466-977a-44e0f92cf111,acme.org,1,534,+1-XXX-XXX-XXXX,0007105201,PTNBF,9208,de
+1,ed068dab-8a62-4082-a574-6daa057d292d,example.com,1,514,+81-XX-XXXX-XXXX,0006112694,HAD,1184,zh
+44,c8cc2361-406e-40ca-94a9-d5e3529a6c2b,yahoo.com,0,948,+44-XXXX-XXXXXX,0008955596,EIV,4896,zh
+81,5b65ece2-16c3-4959-b345-fdbabd697404,gmail.com,0,959,+44-XXXX-XXXXXX,0001356242,PQ,8257,fr
+55,574a4108-b140-4053-80bc-1aeead2a4145,yahoo.com,0,368,+1-XXX-XXX-XXXX,0008587185,JVFJU,7194,pt
+91,d6ecfe96-cf38-4606-bb41-67227fd12e0f,example.com,0,285,+81-XX-XXXX-XXXX,0007790031,OHRWC,8728,ko
+1,781218a4-b58d-4fa1-8b77-be305092ecb8,gmail.com,1,388,+81-XX-XXXX-XXXX,0002617659,NG,1353,de
+55,d61355a1-c9c2-45e8-8ba4-d542d8298357,outlook.com,0,735,+44-XXXX-XXXXXX,0001588738,JWHB,5251,es
+49,9fe31017-9bd0-436b-bbde-f76579528908,company.com,0,942,+44-XXXX-XXXXXX,0003189830,OWQJM,6113,en
+55,bdcb51ff-ddbc-47e7-87f2-7092ac1dcdb8,acme.org,1,285,+44-XXXX-XXXXXX,0001127805,FAE,8139,ar
+91,9a849743-1373-466b-91c4-36b652610d9d,example.com,0,830,+1-XXX-XXX-XXXX,0002466627,QE,5456,zh
+55,7eb0a2e4-fad2-4870-b675-55fd7e82e0aa,acme.org,1,493,+1-XXX-XXX-XXXX,0001630681,KXO,5672,hi
+44,446f3c78-3dd4-47f0-814b-6515b9c8f06b,company.com,1,251,+44-XXXX-XXXXXX,0003316030,RDRCZ,6366,pt
+1,b04ae720-27e4-4079-9f09-e943d4777fc7,example.com,1,709,+44-XXXX-XXXXXX,0008116539,VH,9015,de
+55,0a3dcf80-157b-4286-820b-0e0fda6bd3c2,yahoo.com,0,867,+1-XXX-XXX-XXXX,0002811190,KV,2738,hi
+44,e01d3a1a-680d-4efa-858b-d90f79baf26c,outlook.com,0,713,+1-XXX-XXX-XXXX,0007413729,OGOC,8549,fr
+44,a071eb04-5c48-425e-a702-7b821e0bdbac,gmail.com,1,446,+1-XXX-XXX-XXXX,0005711703,IWPM,6892,ko
