data_rate,sciname,booleanFlag,probability_confidence,decimal_float_field,status_code_data,var_162,integer,percentile,stock_rsu_grant_22,probabilityConfidence,memory_usage_data,raw_binary_value,decimal_float,attr_619,median_val,investment_account,power_6,var_fxiq,cin90,customer_histogram_bin,decimalFloat,c_234,histogram_bin_14,encoding_14,length,imageEmbedding,median,standardDeviation,m_f,STANDARD_DEVIATION,meta_inte,median_2,IMAGE_EMBEDDING,arithmetic_mean,CORRELATION,user_billing_account,p_177,VERSION_NUMBER,stddev,STOCK_TICKER,x_co,col_um,titlePrefix,integer_30,cache_duration,fact_latitude,tenant_identifier_raw,clock_time,billing_acct,PROBABILITY_CONFIDENCE,featureVector,percentile_2,histogram_bin_raw,col_378,binary_value_field,channel,type,histogram_bin,schedule_plan_6,DECIMAL_FLOAT,species,user_iata_code,CITATION,p_wor,word_embedding_val,raw_scientific_name,BONUS_VARIABLE_PAY,schema,mlg61,probval,imgemb,trend_growth_rate,word_embedding,dialing_code,zskgui18,numeric_range,v_107,integer_field,p_ord,confidence,raw_mean_average,genericIdentifier,jomn72,integer_2,dim_cron_specification,SIZE_DIMENSION_CATEGORY,customer_probability_confidence,batch_id
8101,C6H12O6,1,0.2695,-802.9681,failed,9.05%,7094,0.48,1562 shares @ $56.24,0.3147,94.3,0,-459.9741,"[-0.2429, 0.9399, 0.1916, -0.4395, -0.0194, 0.3327, 0.5443, 0.1834]",-41.2915,INV-786047,30740.3,0,"[0.9588, 0.385, 0.6792, 0.3658, 0.7066, 0.4151, 0.319, 0.4107]",62.33,4768.4602,08/25,90.84,ISO-8859-1,788.92,"[0.2833, 0.1529, -0.0143, 0.8549, -0.1308, -0.1253, -0.7294, -0.021]",39.5692,48.8784,Male,34.2246,9406,34.7597,"[-0.7662, -0.2108, 0.4186, 0.7413, 0.8286, -0.006, -0.2522, -0.9675]",2.6529,-0.1981,BILL-420540,17-80,2.1.68,29.9962,RDX,"[8.85, 80.04]",GPL-3.0,Mrs.,4431,167 days,-22.744145,tenant-050,09:07:57,BILL-634181,0.5482,"[0.824, 0.0059, 0.5549, 0.6671, 0.7543, 0.7639, 0.9923, 0.0641]",55.95,67.22,0.7009,1,Social Media,Free,13.09,Weekly on Monday,3806.0505,Fe2O3,NCH,Smith et al. (2010),"[0.5902, 0.0585, 2.2673, -0.0845, 1.2007, 0.5833, 0.3475, -1.513]","[-0.1225, -0.9293, 0.0481, 1.93, 0.5216, 0.0044, 1.8552, 0.7634]",NaCl,"$40,335",ISO 8601,95.73,0.9912,"[0.352, 0.3013, -0.7814, 0.4344, -0.3146, -0.9111, 0.4834, 0.7432]",49.16%,"[-0.086, 1.724, 0.8047, -1.4935, -2.8166, 0.0071, -0.4657, -1.0519]",+61,-10.4,19-65,C6H12O6,2659,917,0.0384,30.5865,04099db6-4bc7-40bb-aec9-fd18e42abfe2,9199.7074,321,32 23 * * *,L,0.8993,batch-20210208-30
3389,C6H12O6,false,0.5284,7762.1168,active,31.84%,4678,51.86,3428 shares @ $70.98,0.3179,18.4,1,8575.1119,"[-0.3385, 1.2304, 0.2298, 0.4071, -0.0309, 0.0247, -0.4676, 0.0463]",24.0865,INV-672147,15675.7,1,"[0.1869, 0.6363, 0.5328, 0.0123, 0.0196, 0.3695, 0.6267, 0.5685]",61.88,2080.788,02/29,7.36,ASCII,687.5,"[0.098, -0.5228, -0.1993, -0.6758, -1.2426, -0.0421, -0.4785, 0.2598]",74.8466,2.1753,Male,28.5299,7462,3.8483,"[-0.298, -0.687, 0.1439, -0.2926, 1.3682, 0.0671, 0.1889, -0.1726]",-44.3515,0.8614,BILL-839865,28-65,5.1.71,41.3221,ERCW,"[25.24, 94.86]",CC BY 4.0,Hon.,2040,55 days,-50.621845,tenant-047,22:02:48,BILL-636989,0.4817,"[0.3134, 0.1142, 0.0637, 0.6966, 0.8584, 0.3913, 0.239, 0.4689]",74.34,46.35,-0.0208,0,Chat,Enterprise,0.31,Weekly on Monday,8336.8341,Homo sapiens,FGX,Williams et al. (2023),"[-2.3163, 0.706, -0.4774, 2.2523, -0.6184, 2.1332, -1.0829, -0.0884]","[1.018, -0.7193, 0.8009, -0.0506, -0.7708, -0.836, 0.0536, -1.8805]",Homo sapiens,"$28,468",ISO 8601,40.69,0.6502,"[1.2305, -0.5872, -0.3665, -0.5653, -0.1418, 0.1748, 1.4184, 0.3779]",7.76%,"[-0.6745, 0.6896, 0.9945, -0.9259, 0.63, 2.1449, 1.2532, -0.2571]",+44,7.8,42-51,Homo sapiens,1613,997,0.2175,-67.5686,d191d35a-d8cb-4b95-b887-5f5931f000e1,8931.1597,9876,36 5 * * *,S,0.8681,batch-20251003-22
935,Homo sapiens,false,0.7902,8873.3206,failed,-27.58%,5455,25.65,3137 shares @ $186.15,0.7733,91.7,0,7600.7981,"[0.1412, 0.1803, -0.7303, 0.3891, -0.1008, 0.3182, 0.0673, -0.3382]",-96.2091,INV-510208,33506.0,1,"[0.4852, 0.2417, 0.446, 0.1787, 0.8484, 0.2665, 0.6363, 0.2431]",50.86,2960.6585,03/24,47.08,UTF-16,565.5,"[0.0118, 0.797, -0.3802, -0.2734, 0.2171, 0.3526, 0.9699, -0.5218]",26.3309,18.5153,Male,0.9157,3562,15.7239,"[0.2326, 0.3145, 0.1093, -0.4433, -0.4365, -0.17, -0.2769, 1.2824]",-4.7935,-0.7682,BILL-306594,31-90,3.4.14,11.8176,BXD,"[20.21, 74.69]",Apache-2.0,Rev.,795,32 days,43.577847,tenant-035,08:28:40,BILL-328217,0.1201,"[0.604, 0.6564, 0.1115, 0.18, 0.7432, 0.6569, 0.4069, 0.6942]",82.36,87.21,-0.1884,0,Web,Premium,76.18,Every 15 minutes,3671.4465,E. coli,RJX,Brown et al. (2011),"[1.3499, -0.6591, 1.2705, 0.56, 0.1739, 0.1743, -1.7183, -0.9634]","[-1.0528, -0.6313, 0.065, -2.1507, 0.2598, 1.7707, -0.6895, -0.8195]",E. coli,"$44,727",POSIX,71.06,0.4097,"[0.017, 0.2142, 0.4676, 0.5079, -0.7451, 1.0974, -0.3097, 0.3251]",25.02%,"[-3.0914, 0.4023, -0.5221, 2.7983, 0.0955, 0.6164, -0.168, -0.0711]",+49,7.5,0-91,H2O,4747,848,0.7305,16.6955,b0389b38-e5b8-4f6b-9667-b21a562cec83,4634.0437,3579,"36 3 * * 0,6",XXL,0.8581,batch-20210612-12
1535,NaCl,false,0.1107,8214.0808,rejected,1.34%,5134,44.87,2115 shares @ $335.75,0.8968,99.4,0,5497.0141,"[0.3222, -0.4189, 0.3634, 0.062, 0.2019, -0.7068, 0.2637, -0.717]",-76.8559,INV-327262,44384.9,0,"[0.1993, 0.5235, 0.6278, 0.5427, 0.7318, 0.7444, 0.488, 0.8141]",14.76,4579.9081,02/26,50.2,Latin-1,448.49,"[-0.403, 0.202, -0.2214, 0.5297, 0.0434, -0.033, -0.0276, -0.4488]",97.176,33.9441,Female,42.0479,294,78.5061,"[-0.3264, 0.109, -0.8537, -0.0898, -0.1304, 0.8918, 0.1005, -0.2891]",-36.8634,-0.8941,BILL-581447,40-67,5.18.45,1.3461,ITR,"[11.82, 99.99]",CC BY 4.0,Ms.,2927,356 days,0.05758,tenant-040,18:05:18,BILL-786912,0.3289,"[0.885, 0.6416, 0.3733, 0.4485, 0.7561, 0.2388, 0.5917, 0.336]",60.49,64.68,-0.7845,0,Email,Premium,71.94,Monthly on 1st,6309.3919,C6H12O6,IDW,White et al. (2026),"[-0.1533, 0.1542, -0.2855, -2.6044, -0.2276, -0.4713, -0.2754, -1.2347]","[0.5497, 1.9858, 2.849, 3.2132, -0.0248, -1.072, 0.4654, 0.1314]",E. coli,"$27,024",RFC 3339,27.99,0.2489,"[0.5193, -0.3979, 0.9215, -0.0826, -0.4848, 0.0598, -0.7793, -0.3472]",-12.18%,"[0.2269, 0.8629, 0.2139, -0.0871, -1.0065, 0.3171, 0.9841, 0.0572]",+1,3.8,6-84,Homo sapiens,4241,505,0.6581,-40.3126,e3621663-2129-4203-b401-52df8cddf48e,5199.1399,5979,52 23 * * *,L,0.7727,batch-20250218-67
7485,Fe2O3,0,0.0905,3095.866,rejected,31.58%,6705,51.7,2076 shares @ $181.61,0.4897,0.3,1,2946.3159,"[-0.0598, 0.095, -0.2648, 0.6952, -0.4715, 0.2893, 0.1057, 0.9262]",-42.3361,INV-692189,28957.4,0,"[0.2211, 0.3134, 0.688, 0.8156, 0.092, 0.0654, 0.179, 0.2174]",53.69,7210.5365,09/27,50.04,UTF-16,188.38,"[-0.758, -0.053, 0.1322, -0.3869, -0.2062, -0.107, -0.0245, -1.1307]",-73.4995,13.7665,Male,20.3045,2890,99.653,"[0.156, -0.1412, 0.735, 0.6359, 0.2598, 0.7596, 0.7051, 0.4287]",-81.975,0.7805,BILL-814506,38-81,0.8.80,26.1801,LKIR,"[35.45, 65.52]",CC BY 4.0,Prof.,7556,313 days,35.081676,tenant-005,21:07:57,BILL-435263,0.5221,"[0.9679, 0.8811, 0.0525, 0.2131, 0.9053, 0.3763, 0.9323, 0.476]",30.81,93.89,0.3528,1,In-Store,Free,90.37,Weekly on Monday,56.4285,H2O,IFU,Robinson et al. (2003),"[-2.1569, 0.6163, 2.933, -0.1128, 0.2024, -1.2302, 2.3197, 0.0249]","[-0.1363, 1.3653, -0.9209, -0.5358, -1.1139, -0.5772, 0.3669, 0.4445]",H2O,"$9,556",ISO 8601,46.76,0.8878,"[0.1533, -0.1586, 0.275, 0.3031, -0.2102, 0.6327, 0.5287, 0.2873]",-43.07%,"[-0.55, 0.8831, -0.0646, 1.699, -0.5544, 1.587, -1.0006, 0.5161]",+44,-31.4,18-73,H2O,6366,752,0.8038,-40.3777,6aa3a390-a270-4ae3-b599-0e9266f26bd3,-779.2059,1291,43 22 * * 1-5,L,0.235,batch-20221205-51
8554,Fe2O3,1,0.7967,6083.0158,completed,-35.45%,169,21.81,4436 shares @ $244.73,0.7412,50.8,0,-413.2981,"[-0.2719, -0.1166, -0.7533, 0.3733, -0.0564, 0.6056, 0.1321, -0.3187]",47.9821,INV-781425,29818.7,0,"[0.5793, 0.4784, 0.3972, 0.4822, 0.6357, 0.9417, 0.8333, 0.4249]",19.7,2414.1819,05/29,61.45,Latin-1,868.59,"[-0.2602, 1.3739, -0.7028, 0.4575, 0.5313, 0.4852, 0.0492, 0.1601]",14.3572,43.9603,Female,24.7335,9868,-39.5647,"[-0.3633, 0.0068, -0.4033, -0.0916, 0.0173, -0.298, -0.4688, 0.5749]",-75.2292,0.3882,BILL-361991,44-90,3.0.23,37.97,ZJZ,"[35.57, 85.47]",CC BY 4.0,Rev.,1851,195 days,-0.053814,tenant-039,16:45:10,BILL-325025,0.0981,"[0.3126, 0.0729, 0.2636, 0.0494, 0.9297, 0.5985, 0.4889, 0.7923]",17.51,65.9,0.6164,1,In-Store,Premium,59.69,Daily at 2am,4170.2326,E. coli,LGX,Brown et al. (2015),"[-0.3865, -0.8974, -1.7616, -0.9395, -2.0592, 1.1568, 0.7992, 1.5457]","[1.9421, -2.7092, 0.0774, 0.3114, -0.0388, 1.2322, -0.9454, -0.2798]",NaCl,"$45,957",RFC 3339,3.92,0.0874,"[0.2452, -0.4586, -0.2792, 0.2176, -0.0239, 0.1842, -0.1678, -0.5501]",-30.66%,"[-0.4783, 0.5959, 1.3921, 1.0913, -1.6692, -0.66, 1.061, 0.1911]",+55,-10.7,36-80,Fe2O3,6428,652,0.3381,10.7773,34753ff3-e94f-4b52-a301-953cdfcb06e1,5727.8591,7061,"46 5 * * 0,6",XXL,0.5777,batch-20190626-52
7248,H2O,false,0.7023,5926.8211,inactive,49.46%,9697,45.48,1682 shares @ $62.59,0.9107,16.9,0,4627.2057,"[-0.0667, 0.1794, 0.1015, -0.1828, -1.0035, -0.2886, -1.0295, 0.2333]",83.1697,INV-426322,18895.1,0,"[0.0918, 0.1191, 0.1636, 0.5664, 0.3345, 0.6334, 0.1056, 0.9865]",16.07,-644.2837,01/30,47.72,ISO-8859-1,242.05,"[-0.2399, -0.3131, -0.2292, -0.5413, 0.0374, -0.4186, -0.008, -0.6883]",-78.0351,2.1955,Male,20.1811,4166,44.7598,"[-0.2933, 0.5181, 0.0793, -0.2649, -0.0562, -0.1984, -0.1338, 0.1579]",35.5539,0.5398,BILL-445755,24-97,0.13.84,24.4296,UQ,"[11.65, 79.9]",GPL-3.0,Ms.,7809,239 days,-86.847748,tenant-032,02:52:53,BILL-775687,0.4173,"[0.6054, 0.1066, 0.4627, 0.9358, 0.2426, 0.0988, 0.9155, 0.3626]",50.24,44.46,-0.8261,1,Email,Basic,7.0,Every 15 minutes,9407.7137,C6H12O6,LUO,Johnson et al. (2004),"[-0.4971, -1.3622, -1.0926, 1.4334, -0.5222, 0.0836, -0.2269, 0.2016]","[1.1224, 0.6235, 0.4554, 0.3788, -0.9777, 0.0424, 0.378, 0.4832]",H2O,"$12,928",IEEE 754,61.63,0.4966,"[-0.1574, 0.6853, 0.1536, -0.4596, -0.2169, -0.1177, 0.783, 0.0405]",-3.71%,"[-0.4209, 1.9765, -1.4052, -0.4001, 2.809, 0.2536, 0.3466, 1.4009]",+1,-32.8,27-66,Fe2O3,2454,215,0.4027,62.7315,c35c89c5-52d6-4762-9586-5fa1ac864739,2158.5397,9324,"5 14 * * 0,6",L,0.9585,batch-20181009-74
9226,Fe2O3,false,0.6324,9661.3295,cancelled,6.05%,4995,4.47,1275 shares @ $131.11,0.4543,24.9,1,2133.3056,"[0.4919, -0.233, 0.0528, 0.5227, -1.3756, 0.6357, 0.8691, -0.277]",73.8236,INV-160475,35698.4,1,"[0.3382, 0.2359, 0.0125, 0.7801, 0.8313, 0.1373, 0.3234, 0.9704]",60.84,4490.4997,05/27,78.97,UTF-16,783.83,"[-0.3006, -0.0475, -0.0249, -0.2687, -0.2563, -0.1086, 0.1417, -0.3032]",64.4852,15.2337,Unisex,31.0667,3036,-48.9622,"[-0.3851, 0.1657, -0.1263, -0.3535, -0.1233, -0.3234, -0.3388, 0.1825]",42.4134,0.213,BILL-548248,8-82,4.19.87,38.6755,BBT,"[27.08, 79.16]",Apache-2.0,Mrs.,4332,245 days,22.088231,tenant-046,12:03:19,BILL-303752,0.1658,"[0.779, 0.6127, 0.2644, 0.9967, 0.9486, 0.7749, 0.4431, 0.5068]",92.89,2.35,-0.6564,1,Chat,Standard,86.57,Monthly on 1st,6269.0042,E. coli,RDO,Clark et al. (2026),"[-1.1224, 1.4082, -0.5676, 0.1617, -0.1995, -0.238, -0.1355, 1.059]","[0.0583, -2.0699, -0.091, 0.7521, 1.1633, 0.9456, -0.9643, 0.5705]",C6H12O6,"$27,689",IEEE 754,15.4,0.9521,"[0.8826, -0.6424, 0.141, 0.4286, -0.0164, 0.0352, 0.4462, -0.5829]",37.93%,"[-0.9917, -0.0628, -0.2049, -0.6495, -0.5102, 0.7364, -0.587, -1.131]",+49,3.4,44-93,H2O,6162,946,0.243,-49.9418,472823ec-76c0-4ec3-8806-8a9667eafa3e,6569.0523,9236,29 14 * * *,XXL,0.3043,batch-20200718-86
6113,NaCl,1,0.4531,3355.1161,pending,46.77%,4042,68.57,3083 shares @ $138.8,0.9124,23.0,1,5540.4981,"[-1.1826, 0.6753, -0.3475, 0.156, 0.9163, 0.157, -0.112, -0.5472]",21.7698,INV-403784,44825.2,1,"[0.7499, 0.8282, 0.3592, 0.9103, 0.7844, 0.2915, 0.3902, 0.4996]",90.65,9762.4267,10/26,1.05,ISO-8859-1,380.04,"[-0.7503, -0.8111, 0.5096, 0.0643, -0.6214, -1.246, -0.3599, -0.6105]",-74.7598,5.0659,Female,13.1446,2961,27.9159,"[0.5625, -0.026, -0.2947, 0.4551, 0.3265, -0.4889, -1.0548, 0.8302]",36.8037,0.2605,BILL-197879,1-69,1.16.86,30.7253,RNIE,"[30.66, 94.52]",GPL-3.0,Hon.,1891,77 days,48.63376,tenant-002,05:27:32,BILL-799981,0.8838,"[0.2324, 0.5808, 0.3255, 0.2509, 0.2349, 0.9881, 0.7392, 0.9953]",91.81,45.58,-0.7174,1,In-Store,Trial,75.67,Weekly on Monday,7618.5728,Homo sapiens,EYE,Jones et al. (2020),"[-1.693, 1.1865, -0.443, -0.3615, -0.7316, -1.6038, -0.7034, 1.549]","[1.3596, -2.0258, -1.9245, -2.5914, 0.9651, -0.9336, -1.4538, -1.093]",H2O,"$43,737",W3C Date,85.2,0.8889,"[-0.7788, -0.1034, -0.6425, -1.1077, -0.0284, 0.413, -1.2786, -0.6012]",-4.7%,"[-1.7317, -0.0975, 0.6026, 1.0456, -0.3037, -0.0715, 0.0466, -0.1052]",+91,-2.7,43-91,C6H12O6,437,745,0.1966,-88.1761,f00d53b4-f4b1-4a7a-bd80-5b583348bfac,7379.8731,6119,35 7 * * 1-5,M,0.4505,batch-20240314-82
3795,Homo sapiens,true,0.1653,9333.1321,active,31.61%,3433,48.02,2182 shares @ $52.47,0.193,97.4,0,9185.8822,"[-0.3737, 0.5787, -0.3868, -0.5305, -0.1262, -0.6331, -0.3042, 1.4394]",3.3699,INV-235111,17450.1,0,"[0.1131, 0.5251, 0.6827, 0.373, 0.4877, 0.7477, 0.6165, 0.1038]",43.5,-410.1068,05/24,45.1,ISO-8859-1,287.3,"[-0.4838, -0.4525, -0.7532, -0.6736, 0.9654, 0.4926, 0.2976, 0.3917]",-23.6285,32.301,Male,29.8661,6094,-50.2273,"[-0.4601, 0.0851, -0.6752, -0.5908, -0.3922, 0.5091, -0.1738, -0.2999]",83.4818,0.0902,BILL-270434,22-86,1.20.75,41.1104,QUN,"[38.44, 74.91]",GPL-3.0,Ms.,5894,281 days,34.184565,tenant-032,04:30:36,BILL-587800,0.9888,"[0.257, 0.4943, 0.5591, 0.0175, 0.0061, 0.8541, 0.7424, 0.5302]",54.95,63.77,-0.0266,1,Mobile,Premium,81.36,Monthly on 1st,1566.875,E. coli,WRQ,White et al. (2000),"[0.0983, 0.7668, -0.9221, 1.4145, -1.5998, -0.479, -1.4307, 0.4214]","[-0.1599, 0.2908, -0.1127, -2.2853, -0.0303, -0.4259, -0.3893, -0.5389]",H2O,"$43,813",ISO 8601,99.61,0.0911,"[-0.8247, -0.3819, -0.2523, 0.0973, 0.7241, -1.0215, 0.0666, -0.5592]",-42.42%,"[0.4037, -0.0907, 0.208, -1.4632, -1.2358, 0.8252, 0.4482, -0.1036]",+86,10.4,25-90,H2O,1820,950,0.9702,1.4823,d3e610d4-3ccb-4973-af9f-73001e0b563c,7287.6596,6713,"50 13 * * 0,6",M,0.0733,batch-20260731-04
6754,NaCl,1,0.418,2596.7996,cancelled,19.14%,5169,31.79,1882 shares @ $294.28,0.5737,94.5,0,5092.2222,"[-0.1344, 0.124, -0.0256, 0.0917, -0.1122, -0.1564, -0.6467, -0.3871]",-62.4726,INV-233558,35240.7,1,"[0.3826, 0.6254, 0.4694, 0.4843, 0.7313, 0.4412, 0.2935, 0.0954]",75.81,5291.0613,08/30,89.46,ASCII,13.28,"[-0.2723, -0.3649, -0.5613, 0.4566, 0.5307, -0.3618, -0.3106, -0.8274]",7.3767,2.1708,Male,10.1414,6033,-82.8239,"[-0.1439, 0.8311, 0.9256, 0.9082, 0.755, 0.5296, -0.3871, -0.0649]",65.4178,0.5241,BILL-411056,49-71,1.18.18,0.5157,MES,"[34.87, 61.56]",MIT,Mr.,6047,285 days,-86.715343,tenant-050,07:13:34,BILL-245448,0.0505,"[0.5967, 0.1175, 0.8072, 0.7323, 0.9043, 0.9313, 0.2726, 0.3571]",13.86,91.96,-0.3978,0,Email,Basic,96.91,Daily at 2am,5593.3159,E. coli,OOP,Miller et al. (2016),"[-0.562, 0.3175, 0.8666, 1.7156, -1.3388, 0.1593, 0.0232, -0.0232]","[0.3248, -0.4596, 1.0159, 0.6376, -1.9318, 1.1437, 0.041, -0.7292]",Homo sapiens,"$12,825",W3C Date,79.65,0.2563,"[0.9282, 0.4552, -0.3438, -0.3301, 1.02, 0.058, 0.0453, -0.4097]",-7.44%,"[0.4537, -0.9337, 0.4912, 1.0985, -1.093, 1.2819, -0.6098, -0.5542]",+49,19.3,3-64,Homo sapiens,6523,701,0.2326,-25.5648,9aa914b3-f63f-497d-a1e8-90a15e9813f1,9444.3591,5676,"1 20 * * 0,6",XS,0.4622,batch-20260610-63
1264,C6H12O6,false,0.3304,5193.2734,inactive,2.4%,7462,62.83,3448 shares @ $288.17,0.7298,63.5,0,359.0431,"[-0.4074, 0.2785, -0.058, 0.4298, -0.0059, 0.5112, -0.9471, -0.3787]",19.6923,INV-926743,38189.3,1,"[0.1907, 0.9427, 0.2307, 0.8146, 0.4625, 0.49, 0.7572, 0.6282]",65.58,1692.0557,11/26,67.35,UTF-16,818.16,"[0.4418, -0.0446, -0.0942, 0.9286, -0.3853, -0.6845, 0.8616, -0.1004]",63.6352,39.7333,Male,25.5269,270,-44.2034,"[-0.1062, -0.0801, 0.352, -0.6602, -0.5548, -0.9347, -0.6203, -0.3062]",99.973,0.1639,BILL-113441,31-78,2.4.36,37.3059,AM,"[18.55, 68.63]",BSD-3-Clause,Mr.,8325,265 days,88.660813,tenant-038,23:29:58,BILL-178150,0.6506,"[0.8352, 0.4424, 0.1934, 0.4398, 0.1085, 0.7496, 0.6779, 0.3313]",78.87,43.67,-0.35,0,Chat,Basic,22.3,Monthly on 1st,9711.8282,H2O,DWE,Clark et al. (2000),"[0.6349, 1.2256, -0.1899, -0.413, -0.3624, -1.3559, -1.7057, -1.2345]","[-0.4832, 0.9946, -0.773, -0.7085, -0.6379, -0.26, 1.0633, -1.4952]",NaCl,"$49,482",RFC 3339,0.41,0.7801,"[0.0762, 0.8847, 0.4003, 0.0127, -0.1427, -0.9917, -0.0962, 0.2399]",-0.53%,"[1.3702, -2.7247, -1.5449, -1.6422, -0.8737, -0.2097, 0.0543, -0.7784]",+61,38.9,47-98,Fe2O3,6997,59,0.8225,-2.4413,679a7e26-2b31-4643-8d3f-fc288265184b,9116.5687,6093,"57 15 * * 0,6",M,0.0228,batch-20200815-12
9270,NaCl,no,0.1708,-953.5882,cancelled,-2.16%,1095,32.73,1349 shares @ $479.35,0.1639,55.2,1,6438.2911,"[1.0011, -0.0725, -0.0942, -0.3778, 0.479, 0.3412, 0.2081, 0.8379]",23.9625,INV-655478,6194.4,0,"[0.3353, 0.5728, 0.1541, 0.7644, 0.76, 0.8946, 0.1166, 0.6603]",43.96,3292.4622,06/27,50.37,Latin-1,309.29,"[0.3744, -0.8076, -0.6073, 0.131, 0.7902, -0.5069, 0.5294, -0.6142]",56.5318,7.5709,Female,6.5012,8720,60.2579,"[0.6145, -1.0965, -0.615, 0.5433, -0.4655, -0.4494, 0.1257, 0.0158]",-7.3085,0.4304,BILL-963457,20-72,2.10.47,23.8212,UJVK,"[31.13, 82.6]",CC BY 4.0,Dr.,1125,290 days,5.172638,tenant-031,04:32:31,BILL-841976,0.857,"[0.0252, 0.923, 0.0133, 0.5096, 0.8023, 0.5654, 0.0539, 0.3246]",34.59,84.27,0.063,0,Web,Trial,2.35,Daily at 2am,8995.663,NaCl,BXO,Jackson et al. (2026),"[-0.5934, -2.2865, -3.0056, -0.1349, -0.9746, -0.302, 1.3137, 0.6168]","[0.4626, -0.1387, 0.5208, -0.3079, 0.1945, -2.6787, 0.6711, -0.5471]",E. coli,"$22,128",ISO 8601,23.99,0.4984,"[-0.489, 0.7437, 0.2187, 0.0361, 0.3655, -0.3907, 0.6674, -0.2477]",-16.67%,"[-0.1829, -0.8522, -2.422, -1.4303, -1.0766, 0.904, -0.9843, -0.8678]",+55,7.9,26-57,Homo sapiens,839,170,0.8165,-25.6954,65390dd0-5889-47cd-b75b-dd5e06e3abca,6128.6934,2813,13 12 * * *,XS,0.2237,batch-20220308-65
3685,C6H12O6,1,0.0102,5891.7534,cancelled,18.19%,3676,33.26,2034 shares @ $31.5,0.207,81.0,0,8155.0783,"[-0.4402, 0.4414, -0.5714, -0.1916, 0.4644, 0.076, -0.568, -0.6759]",-71.2757,INV-366867,33751.1,0,"[0.6858, 0.378, 0.771, 0.0711, 0.2438, 0.0308, 0.9519, 0.0221]",73.78,9132.4681,08/30,80.02,ISO-8859-1,747.22,"[0.3032, -0.4618, -0.3757, -0.1646, 0.0303, 0.3501, 0.1256, -0.1895]",89.2182,10.9215,Unisex,44.1814,5430,39.2939,"[-0.4564, 0.5846, -0.5436, -0.4048, 0.3039, -0.28, 1.1173, 0.7576]",22.306,-0.9792,BILL-743040,44-97,0.3.72,22.5847,NC,"[9.22, 62.44]",GPL-3.0,Prof.,8487,311 days,81.791973,tenant-010,08:29:57,BILL-583984,0.8514,"[0.767, 0.2716, 0.4645, 0.2726, 0.1388, 0.0065, 0.4381, 0.9714]",95.23,99.3,0.7473,0,Mobile,Enterprise,76.55,Weekly on Monday,6398.1732,C6H12O6,GLI,King et al. (2016),"[0.6605, 0.5201, 0.1838, 0.4793, -0.3535, 0.6765, -1.0853, -0.2675]","[0.2178, -0.9507, -0.9987, -3.188, 1.6407, 1.1653, 1.3826, 1.07]",C6H12O6,"$18,550",RFC 3339,86.25,0.8164,"[0.1856, 0.001, 0.6006, 0.0703, -0.6209, 0.9947, -0.3211, -0.0134]",7.17%,"[0.1073, 0.5052, -0.3167, 1.1505, -0.2559, 0.5922, 0.554, 0.1321]",+61,36.4,13-72,Homo sapiens,7215,648,0.7324,-19.5946,eed3c527-f6c3-420b-aa14-20e89eeda4a8,-616.8755,4503,3 3 * * *,S,0.6215,batch-20210729-40
6417,NaCl,true,0.9101,5125.5963,inactive,-2.98%,2695,19.59,254 shares @ $191.31,0.0939,34.4,0,8526.0443,"[0.3759, -0.2864, -0.6326, 1.5682, -0.3426, 0.2528, -0.6023, -0.5377]",-28.6701,INV-927054,31588.7,1,"[0.5218, 0.4619, 0.7178, 0.1064, 0.1773, 0.9651, 0.5958, 0.1376]",74.46,-641.6787,11/25,93.61,UTF-8,207.1,"[-0.2938, 0.2812, -0.656, -0.6929, 0.0913, -0.3736, -0.3871, -0.7132]",6.1953,30.5987,Female,6.6006,2569,97.2723,"[-0.5003, -0.5438, -0.469, 0.4283, -0.1651, 0.6216, -0.274, 0.6636]",-68.156,-0.6413,BILL-755462,11-65,4.6.21,26.9014,TRT,"[19.35, 79.8]",Apache-2.0,Rev.,7874,278 days,77.347193,tenant-014,08:02:43,BILL-498598,0.1801,"[0.6244, 0.1281, 0.6399, 0.6908, 0.0358, 0.505, 0.9826, 0.5566]",40.21,21.08,-0.6264,0,Web,Premium,71.86,Monthly on 1st,4949.9119,NaCl,PIA,Lee et al. (2011),"[1.0912, 0.7591, 0.7201, -0.3687, -0.1133, 0.0111, -1.6213, -0.7276]","[-1.4127, 0.7132, 0.7984, 0.9921, 0.6008, 2.2636, 1.2343, 0.6321]",C6H12O6,"$48,409",POSIX,34.27,0.5405,"[0.183, -0.2313, -0.8828, 0.2091, 0.1039, -0.1894, -0.1894, 0.0057]",-32.44%,"[0.1535, 0.6006, -0.1012, 0.7157, 1.0958, -0.0822, 0.7788, 0.3026]",+49,3.5,29-68,Homo sapiens,5981,115,0.8071,-66.0032,7db57a30-201f-4c52-af6f-554aa903b7e9,7501.6803,5481,"11 2 * * 0,6",L,0.902,batch-20210822-64
